date,time,symbol,side,regime,n_rows,qty,entry,exit_med,pnl,ml_prob,MFE,MAE,hold_s,R,exit_reason,spot_prev,spot_entry,h20,l20,dist_ext,pos_rng,consumed,consec_dir,last_rng_ratio,broke,bars_since_break,fav1,fav3,fav5,fav10,worst5,best5,cls
2026-08-18,10:25:40,BANKNIFTY26AUG57300PE,PE,SCALP,1,60,350.8,345.0,-348.0000000000007,0.0,36.0,-516.0,21.0,-1.6,SCALP_STOP,57299.15,57301.2,57331.4,57274.4,-26.8,0.53,0.91,0,1.23,0,,-2.0,-52.3,-46.3,-58.8,67.3,-14.0,MIXED
2026-08-18,10:51:57,BANKNIFTY26AUG57300PE,PE,SCALP,1,60,378.6,387.55,536.9999999999993,0.0,663.0,-258.0,34.1,-0.746,SCALP_STOP,57286.75,57255.2,57370.8,57261.3,6.1,1.06,0.99,0,0.53,1,0.0,31.6,49.7,35.8,28.8,5.4,-55.8,GOOD_ENTRY
2026-08-18,11:50:29,BANKNIFTY26AUG57300CE,CE,SCALP,1,60,469.2,460.7,-510.0,0.0,48.0,-690.0,81.1,-1.337,SCALP_STOP,57287.35,57318.3,57303.8,57217.6,14.6,1.17,0.27,2,0.9,1,155.0,31.0,18.5,27.2,54.1,-1.9,37.6,FALSE_BREAKOUT
2026-08-18,12:04:39,BANKNIFTY26AUG57400CE,CE,SCALP,1,60,441.8,447.1,318.0000000000007,0.0,414.0,-228.0,9.4,-0.633,SCALP_STOP,57343.4,57370.8,57350.8,57267.6,20.0,1.24,0.42,1,0.89,1,169.0,27.4,26.2,25.0,-1.0,-0.8,43.6,GOOD_ENTRY
2026-08-18,12:07:46,BANKNIFTY26AUG57400CE,CE,SCALP,1,60,448.2,440.0,-491.9999999999993,0.0,0.0,-624.0,59.2,-1.3,SCALP_STOP,57369.65,57384.2,57384.6,57271.4,-0.4,1.0,0.45,0,1.01,1,172.0,14.5,-0.2,-2.4,-32.0,-13.5,17.3,FALSE_BREAKOUT
2026-08-18,13:23:33,BANKNIFTY26AUG57300PE,PE,SCALP,1,60,341.35,341.05,-18.000000000000682,0.0,252.0,-402.0,55.2,10.0,SCALP_STOP,57308.25,57290.15,57337.6,57286.7,-3.5,0.93,0.8,0,1.28,1,200.0,18.1,9.1,16.6,-6.1,10.8,-30.9,FALSE_BREAKOUT
2026-08-18,14:02:26,BANKNIFTY26AUG57300CE,CE,SCALP,1,60,463.55,463.6,3.000000000000682,0.0,129.0,-258.0,22.6,8.6,SCALP_STOP,57305.85,57336.15,57323.1,57276.2,13.1,1.28,0.32,2,0.92,1,287.0,30.3,52.1,50.5,27.0,0.8,58.7,GOOD_ENTRY
2026-08-18,14:05:52,BANKNIFTY26AUG57300PE,PE,SCALP,1,60,324.35,316.0,-501.00000000000136,0.0,0.0,-633.0,33.8,-1.319,SCALP_STOP,57357.9,57339.9,57361.3,57276.2,-63.8,0.25,0.67,0,0.95,0,,18.0,5.1,15.1,9.2,8.8,-27.8,GOOD_ENTRY
2026-08-18,14:27:25,BANKNIFTY26AUG57300PE,PE,SCALP,1,60,334.35,327.55,-408.0000000000007,0.0,9.0,-549.0,36.0,-1.125,SCALP_NO_LIFE,57339.35,57310.55,57366.8,57302.3,-8.2,0.87,0.75,2,0.79,1,265.0,28.8,2.0,4.5,18.4,29.6,-49.5,FALSE_BREAKOUT
2026-08-18,14:32:42,BANKNIFTY26AUG57300CE,CE,SCALP,1,60,485.0,479.15,-351.00000000000136,0.0,0.0,-483.0,7.3,-1.61,SCALP_STOP,57334.8,57337.5,57369.0,57289.8,-31.4,0.6,0.33,0,1.37,0,,2.7,8.5,-13.9,2.9,-16.6,22.9,MIXED
2026-08-18,14:56:55,BANKNIFTY26AUG57400CE,CE,SCALP,1,60,427.2,431.65,266.9999999999993,0.0,387.0,-252.0,49.6,-0.506,SCALP_STOP,57368.95,57398.4,57384.4,57314.8,14.0,1.2,0.49,2,0.87,1,341.0,29.5,18.7,38.2,7.1,-6.4,46.0,GOOD_ENTRY
