date,trades,pnl,wins,losses,day_type,killed
2025-06-02,1,-374.25,0,1,RANGE_DAY,False
2025-06-03,0,0.0,0,0,RANGE_DAY,False
2025-06-04,0,0.0,0,0,RANGE_DAY,False
2025-06-05,0,0.0,0,0,RANGE_DAY,False
2025-06-06,0,0.0,0,0,RANGE_DAY,False
2025-06-09,0,0.0,0,0,RANGE_DAY,False
2025-06-10,0,0.0,0,0,RANGE_DAY,False
2025-06-11,1,136.5,1,0,RANGE_DAY,False
2025-06-12,1,676.5,1,0,RANGE_DAY,False
2025-06-13,0,0.0,0,0,RANGE_DAY,False
2025-06-16,0,0.0,0,0,RANGE_DAY,False
2025-06-17,0,0.0,0,0,RANGE_DAY,False
2025-06-18,1,147.0,1,0,RANGE_DAY,False
2025-06-19,1,809.25,1,0,RANGE_DAY,False
2025-06-20,0,0.0,0,0,RANGE_DAY,False
2025-06-23,0,0.0,0,0,RANGE_DAY,False
2025-06-24,0,0.0,0,0,RANGE_DAY,False
2025-06-25,0,0.0,0,0,RANGE_DAY,False
2025-06-26,1,37.5,1,0,RANGE_DAY,False
2025-06-27,0,0.0,0,0,RANGE_DAY,False
2025-06-30,0,0.0,0,0,RANGE_DAY,False
2025-07-01,1,37.5,1,0,RANGE_DAY,False
2025-07-02,0,0.0,0,0,RANGE_DAY,False
2025-07-03,1,-137.25,0,1,RANGE_DAY,False
2025-07-04,0,0.0,0,0,RANGE_DAY,False
2025-07-07,0,0.0,0,0,RANGE_DAY,False
2025-07-08,0,0.0,0,0,TREND_DAY,False
2025-07-09,0,0.0,0,0,RANGE_DAY,False
2025-07-10,2,-473.25,1,1,RANGE_DAY,False
2025-07-11,2,-168.75,1,1,RANGE_DAY,False
2025-07-14,0,0.0,0,0,RANGE_DAY,False
2025-07-15,0,0.0,0,0,RANGE_DAY,False
2025-07-16,0,0.0,0,0,RANGE_DAY,False
2025-07-17,1,83.25,1,0,RANGE_DAY,False
2025-07-18,2,-168.75,1,1,RANGE_DAY,False
2025-07-21,0,0.0,0,0,RANGE_DAY,False
2025-07-22,0,0.0,0,0,RANGE_DAY,False
2025-07-23,0,0.0,0,0,RANGE_DAY,False
2025-07-24,1,105.75,1,0,RANGE_DAY,False
2025-07-25,0,0.0,0,0,RANGE_DAY,False
2025-07-28,0,0.0,0,0,RANGE_DAY,False
2025-07-29,0,0.0,0,0,RANGE_DAY,False
2025-07-30,0,0.0,0,0,RANGE_DAY,False
2025-07-31,2,1478.25,2,0,RANGE_DAY,False
2025-08-01,0,0.0,0,0,RANGE_DAY,False
2025-08-04,0,0.0,0,0,RANGE_DAY,False
2025-08-05,0,0.0,0,0,RANGE_DAY,False
2025-08-06,0,0.0,0,0,RANGE_DAY,False
2025-08-07,0,0.0,0,0,TREND_DAY,False
2025-08-08,0,0.0,0,0,RANGE_DAY,False
2025-08-11,1,1041.0,1,0,RANGE_DAY,False
2025-08-12,1,-490.5,0,1,RANGE_DAY,False
2025-08-13,0,0.0,0,0,RANGE_DAY,False
2025-08-14,0,0.0,0,0,RANGE_DAY,False
2025-08-18,0,0.0,0,0,RANGE_DAY,False
2025-08-19,0,0.0,0,0,RANGE_DAY,False
2025-08-20,0,0.0,0,0,RANGE_DAY,False
2025-08-21,1,1.5,1,0,RANGE_DAY,False
2025-08-22,0,0.0,0,0,RANGE_DAY,False
2025-08-25,0,0.0,0,0,RANGE_DAY,False
2025-08-26,1,-258.0,0,1,RANGE_DAY,False
2025-08-28,1,-37.5,0,1,RANGE_DAY,False
2025-08-29,1,-471.75,0,1,RANGE_DAY,False
2025-09-01,0,0.0,0,0,RANGE_DAY,False
2025-09-02,0,0.0,0,0,RANGE_DAY,False
2025-09-03,0,0.0,0,0,RANGE_DAY,False
2025-09-04,0,0.0,0,0,RANGE_DAY,False
2025-09-05,0,0.0,0,0,RANGE_DAY,False
2025-09-08,0,0.0,0,0,RANGE_DAY,False
2025-09-09,0,0.0,0,0,RANGE_DAY,False
2025-09-10,0,0.0,0,0,RANGE_DAY,False
2025-09-11,1,-210.0,0,1,RANGE_DAY,False
2025-09-12,0,0.0,0,0,RANGE_DAY,False
2025-09-15,0,0.0,0,0,RANGE_DAY,False
2025-09-16,0,0.0,0,0,RANGE_DAY,False
2025-09-17,0,0.0,0,0,RANGE_DAY,False
2025-09-18,0,0.0,0,0,RANGE_DAY,False
2025-09-19,1,861.0,1,0,RANGE_DAY,False
2025-09-22,0,0.0,0,0,RANGE_DAY,False
2025-09-23,0,0.0,0,0,RANGE_DAY,False
2025-09-24,0,0.0,0,0,RANGE_DAY,False
2025-09-25,1,-222.0,0,1,RANGE_DAY,False
2025-09-26,0,0.0,0,0,RANGE_DAY,False
2025-09-29,1,1012.5,1,0,RANGE_DAY,False
2025-09-30,0,0.0,0,0,RANGE_DAY,False
2025-10-01,0,0.0,0,0,RANGE_DAY,False
2025-10-03,0,0.0,0,0,RANGE_DAY,False
2025-10-06,0,0.0,0,0,RANGE_DAY,False
2025-10-07,0,0.0,0,0,RANGE_DAY,False
2025-10-08,0,0.0,0,0,RANGE_DAY,False
2025-10-09,0,0.0,0,0,RANGE_DAY,False
2025-10-10,0,0.0,0,0,RANGE_DAY,False
2025-10-13,0,0.0,0,0,RANGE_DAY,False
2025-10-14,0,0.0,0,0,RANGE_DAY,False
2025-10-15,0,0.0,0,0,RANGE_DAY,False
2025-10-16,2,435.75,2,0,RANGE_DAY,False
2025-10-17,1,71.25,1,0,RANGE_DAY,False
2025-10-20,0,0.0,0,0,RANGE_DAY,False
2025-10-21,0,0.0,0,0,UNKNOWN,False
2025-10-23,2,2250.75,2,0,RANGE_DAY,False
2025-10-24,0,0.0,0,0,RANGE_DAY,False
2025-10-27,0,0.0,0,0,RANGE_DAY,False
2025-10-28,0,0.0,0,0,TREND_DAY,False
2025-10-29,0,0.0,0,0,RANGE_DAY,False
2025-10-30,0,0.0,0,0,RANGE_DAY,False
2025-10-31,2,-618.75,0,2,RANGE_DAY,False
2025-11-03,0,0.0,0,0,RANGE_DAY,False
2025-11-04,2,-757.5,0,2,RANGE_DAY,False
2025-11-06,2,-702.0,0,2,RANGE_DAY,False
2025-11-07,0,0.0,0,0,RANGE_DAY,False
2025-11-10,1,-133.5,0,1,RANGE_DAY,False
2025-11-11,0,0.0,0,0,RANGE_DAY,False
2025-11-12,1,-111.75,0,1,RANGE_DAY,False
2025-11-13,0,0.0,0,0,RANGE_DAY,False
2025-11-14,1,1317.0,1,0,VOLATILE_DAY,False
2025-11-17,0,0.0,0,0,RANGE_DAY,False
2025-11-18,2,1090.5,2,0,RANGE_DAY,False
2025-11-19,1,-265.5,0,1,RANGE_DAY,False
2025-11-20,1,-102.75,0,1,RANGE_DAY,False
2025-11-21,1,-67.5,0,1,RANGE_DAY,False
2025-11-24,1,534.75,1,0,RANGE_DAY,False
2025-11-25,2,1501.5,2,0,UNKNOWN,False
2025-11-26,0,0.0,0,0,RANGE_DAY,False
2025-11-27,0,0.0,0,0,RANGE_DAY,False
2025-11-28,1,-298.5,0,1,RANGE_DAY,False
2025-12-01,0,0.0,0,0,RANGE_DAY,False
2025-12-02,0,0.0,0,0,RANGE_DAY,False
2025-12-03,0,0.0,0,0,RANGE_DAY,False
2025-12-04,1,462.75,1,0,RANGE_DAY,False
2025-12-05,0,0.0,0,0,RANGE_DAY,False
2025-12-08,1,477.0,1,0,RANGE_DAY,False
2025-12-09,0,0.0,0,0,RANGE_DAY,False
2025-12-10,1,37.5,1,0,RANGE_DAY,False
2025-12-11,0,0.0,0,0,RANGE_DAY,False
2025-12-12,0,0.0,0,0,RANGE_DAY,False
2025-12-15,1,37.5,1,0,RANGE_DAY,False
2025-12-16,2,416.25,2,0,RANGE_DAY,False
2025-12-17,0,0.0,0,0,RANGE_DAY,False
2025-12-18,0,0.0,0,0,RANGE_DAY,False
2025-12-19,1,37.5,1,0,RANGE_DAY,False
2025-12-22,0,0.0,0,0,RANGE_DAY,False
2025-12-23,0,0.0,0,0,RANGE_DAY,False
2025-12-24,0,0.0,0,0,RANGE_DAY,False
2025-12-26,0,0.0,0,0,RANGE_DAY,False
2025-12-29,0,0.0,0,0,RANGE_DAY,False
2025-12-30,0,0.0,0,0,RANGE_DAY,False
2025-12-31,1,-225.75,0,1,RANGE_DAY,False
2026-01-01,1,-109.2,0,1,RANGE_DAY,False
2026-01-02,0,0.0,0,0,RANGE_DAY,False
2026-01-05,0,0.0,0,0,RANGE_DAY,False
2026-01-06,0,0.0,0,0,RANGE_DAY,False
2026-01-07,0,0.0,0,0,RANGE_DAY,False
2026-01-08,1,226.2,1,0,RANGE_DAY,False
2026-01-09,0,0.0,0,0,RANGE_DAY,False
2026-01-12,0,0.0,0,0,RANGE_DAY,False
2026-01-13,1,-793.65,0,1,RANGE_DAY,False
2026-01-14,2,137.8,1,1,RANGE_DAY,False
2026-01-16,1,-279.5,0,1,RANGE_DAY,False
2026-01-19,0,0.0,0,0,RANGE_DAY,False
2026-01-20,1,-47.45,0,1,RANGE_DAY,False
2026-01-21,0,0.0,0,0,RANGE_DAY,False
2026-01-22,0,0.0,0,0,RANGE_DAY,False
2026-01-23,2,-869.05,0,2,RANGE_DAY,False
2026-01-27,1,-365.3,0,1,RANGE_DAY,False
2026-01-28,1,-510.9,0,1,RANGE_DAY,False
2026-01-29,2,-169.65,1,1,RANGE_DAY,False
2026-01-30,2,-280.15,1,1,RANGE_DAY,False
2026-02-01,3,1859.65,2,1,RANGE_DAY,False
2026-02-02,1,444.6,1,0,TREND_DAY,False
2026-02-03,0,0.0,0,0,RANGE_DAY,False
2026-02-04,1,734.5,1,0,RANGE_DAY,False
2026-02-05,2,-556.4,0,2,RANGE_DAY,False
2026-02-06,1,32.5,1,0,RANGE_DAY,False
2026-02-09,0,0.0,0,0,RANGE_DAY,False
2026-02-10,1,540.8,1,0,UNKNOWN,False
2026-02-11,0,0.0,0,0,RANGE_DAY,False
2026-02-12,0,0.0,0,0,RANGE_DAY,False
2026-02-13,2,943.15,2,0,RANGE_DAY,False
2026-02-16,0,0.0,0,0,RANGE_DAY,False
2026-02-17,0,0.0,0,0,RANGE_DAY,False
2026-02-18,0,0.0,0,0,RANGE_DAY,False
2026-02-19,2,3129.1000000000004,2,0,RANGE_DAY,False
2026-02-20,3,-72.14999999999998,1,2,RANGE_DAY,False
2026-02-23,0,0.0,0,0,RANGE_DAY,False
2026-02-24,0,0.0,0,0,RANGE_DAY,False
