trade_id,date,exit_time,side,entry_price,exit_price,qty,pnl,ml_prob,entry_reason,exit_reason,regime,orb_high,orb_low,held_seconds,max_pnl,stop_loss,target
1,2024-01-18,2024-01-18 09:32:00,CE,21451.5,21452.4,75,44.25,0.6041,ML_CE,STOP,RANGE,21487.55,21449.4,120.0,153.74999999994543,21451.5,21525.069230769226
2,2024-01-18,2024-01-18 09:38:00,CE,21451.7,21472.8,75,1549.5,0.5603,ML_CE,Drawdown,RANGE,21487.55,21449.4,180.0,1578.7499999999454,21460.7,21524.311538461534
3,2024-01-18,2024-01-18 09:47:00,CE,21462.8,21451.85,75,-893.25,0.5866,ML_CE,TIME_EXIT_WEAK,RANGE,21487.55,21449.4,360.0,0.0,21441.399999999998,21532.299999999996
4,2024-01-19,2024-01-19 09:32:00,CE,21591.35,21613.7,75,1005.0,0.6146,ML_CE,Drawdown,RANGE,21637.65,21607.95,120.0,1743.75,21600.35,21664.419230769225
5,2024-01-19,2024-01-19 09:37:00,CE,21612.15,21620.0,75,566.25,0.643,ML_CE,STOP,RANGE,21637.65,21607.95,120.0,671.2499999997817,21617.15,21694.526923076926
6,2024-01-19,2024-01-19 09:47:00,CE,21617.2,21627.25,75,696.75,0.6109,ML_CE,Drawdown,RANGE,21637.65,21607.95,300.0,802.5000000000546,21622.2,21700.030769230772
7,2024-01-19,2024-01-19 09:58:00,CE,21622.25,21642.15,75,1401.0,0.5947,ML_CE,Drawdown,RANGE,21637.65,21607.95,480.0,1755.0000000001091,21631.25,21666.053846153845
8,2024-01-25,2024-01-25 09:40:00,CE,21304.85,21346.9,75,3056.25,0.5886,ORB+ML_CE,Drawdown,RANGE,21280.85,21257.1,540.0,3120.0000000001637,21313.85,21374.27307692308
9,2024-01-29,2024-01-29 09:38:00,CE,21719.3,21736.55,75,1227.0,0.6077,ML_CE,Drawdown,RANGE,21744.8,21687.15,360.0,1462.5,21728.3,21811.99615384615
10,2024-01-29,2024-01-29 09:46:00,CE,21744.65,21746.55,75,-59.25,0.6401,ML_CE,STOP,RANGE,21744.8,21687.15,300.0,247.49999999994543,21744.65,21835.02307692307
11,2024-01-30,2024-01-30 09:31:00,CE,21545.15,21544.15,75,-12.0,0.6148,ML_CE,STOP,RANGE,21583.15,21540.1,60.0,0.0,21519.992307692304,21635.226923076927
12,2024-01-31,2024-01-31 09:36:00,CE,21702.25,21733.7,75,2292.75,0.5827,ML_CE,Drawdown,RANGE,21705.3,21675.85,360.0,2400.0,21711.25,21759.37307692308
13,2024-01-31,2024-01-31 09:43:00,CE,21728.55,21737.9,75,-35.25,0.5706,ORB+ML_CE,STOP,RANGE,21705.3,21675.85,180.0,727.5000000000546,21733.55,21795.934615384616
14,2024-02-01,2024-02-01 09:34:00,CE,21711.8,21708.15,75,-320.25,0.5691,ML_CE,STOP,RANGE,21730.9,21695.95,240.0,0.0,21694.73076923077,21776.04230769231
15,2024-02-06,2024-02-06 09:37:00,CE,21926.1,21934.6,75,-81.75,0.6167,ML_CE,STOP,RANGE,21938.9,21897.05,420.0,626.2500000001637,21931.1,21993.384615384613
16,2024-02-07,2024-02-07 09:59:00,CE,21950.3,21949.3,75,-34.5,0.5958,ML_CE,DAY_END,RANGE,21952.6,21915.75,60.0,0.0,21938.276923076926,21996.430769230763
17,2024-02-08,2024-02-08 09:48:00,CE,21722.8,21716.5,75,-508.5,0.5977,ORB+ML_CE,RANGE_DAY_FAST_EXIT,RANGE,21706.45,21665.3,180.0,0.0,21697.746153846154,21810.03846153846
18,2024-02-09,2024-02-09 09:36:00,CE,21775.1,21789.85,75,-34.5,0.5793,ML_CE,STOP,RANGE,21781.6,21754.8,180.0,1140.0000000000546,21784.1,21876.096153846156
19,2024-02-13,2024-02-13 09:42:00,CE,21749.2,21754.75,75,216.0,0.5924,ORB+ML_CE,Drawdown,RANGE,21742.6,21705.4,720.0,528.7499999999454,21754.2,21821.20769230769
20,2024-02-13,2024-02-13 09:47:00,CE,21752.75,21756.6,75,265.5,0.6734,ORB+ML_CE,STOP,RANGE,21742.6,21705.4,120.0,344.99999999989086,21755.416666666668,21807.953846153843
