iter	Passed	Remaining
0	33	16644
1	68	16965
2	102	16996
3	133	16524
4	163	16156
5	194	16054
6	223	15769
7	254	15664
8	289	15773
9	319	15674
10	351	15641
11	383	15614
12	416	15615
13	456	15848
14	492	15938
15	527	15968
16	559	15891
17	591	15844
18	624	15799
19	655	15729
20	684	15614
21	715	15536
22	747	15500
23	779	15453
24	810	15402
25	841	15341
26	872	15291
27	906	15275
28	935	15201
29	965	15127
30	997	15089
31	1031	15086
32	1066	15088
33	1098	15059
34	1131	15028
35	1160	14962
36	1193	14933
37	1224	14884
38	1256	14847
39	1286	14793
40	1317	14747
41	1348	14700
42	1379	14660
43	1410	14619
44	1441	14575
45	1471	14520
46	1502	14478
47	1533	14438
48	1564	14399
49	1595	14355
50	1626	14316
51	1657	14281
52	1688	14240
53	1718	14196
54	1748	14149
55	1780	14120
56	1812	14087
57	1844	14052
58	1874	14011
59	1905	13970
60	1933	13911
61	1964	13877
62	1997	13857
63	2031	13841
64	2067	13838
65	2104	13839
66	2140	13835
67	2174	13815
68	2230	13929
69	2286	14043
70	2342	14154
71	2397	14252
72	2441	14283
73	2475	14250
74	2510	14228
75	2548	14215
76	2581	14180
77	2617	14160
78	2652	14137
79	2686	14105
80	2721	14077
81	2759	14066
82	2797	14055
83	2839	14060
84	2878	14056
85	2917	14044
86	2954	14027
87	2994	14017
88	3030	13996
89	3067	13974
90	3106	13961
91	3147	13958
92	3184	13937
93	3229	13946
94	3264	13916
95	3295	13870
96	3329	13834
97	3361	13789
98	3414	13830
99	3451	13806
100	3503	13838
101	3548	13844
102	3588	13830
103	3627	13811
104	3668	13801
105	3707	13780
106	3746	13761
107	3783	13731
108	3819	13700
109	3858	13678
110	3890	13634
111	3924	13596
112	3959	13559
113	3994	13525
114	4029	13489
115	4059	13437
116	4094	13402
117	4131	13374
118	4171	13356
119	4216	13350
120	4265	13359
121	4308	13350
122	4355	13349
123	4386	13300
124	4418	13255
125	4450	13211
126	4482	13164
127	4515	13122
128	4549	13084
129	4582	13042
130	4617	13005
131	4650	12965
132	4689	12940
133	4732	12925
134	4773	12905
135	4814	12884
136	4859	12875
137	4901	12857
138	4940	12832
139	4978	12801
140	5020	12782
141	5065	12771
142	5106	12748
143	5148	12729
144	5194	12716
145	5243	12713
146	5293	12711
147	5342	12705
148	5386	12690
149	5436	12685
150	5490	12689
151	5539	12683
152	5588	12675
153	5637	12666
154	5688	12660
155	5733	12644
156	5775	12617
157	5824	12607
158	5867	12582
159	5908	12556
160	5950	12529
161	5995	12509
162	6034	12475
163	6070	12437
164	6106	12397
165	6138	12350
166	6174	12311
167	6207	12266
168	6254	12249
169	6299	12228
170	6338	12194
171	6377	12161
172	6417	12129
173	6455	12095
174	6493	12059
175	6535	12030
176	6571	11992
177	6611	11960
178	6652	11930
179	6693	11899
180	6726	11855
181	6761	11814
182	6795	11772
183	6829	11729
184	6863	11686
185	6895	11641
186	6930	11600
187	6966	11561
188	6999	11518
189	7033	11475
190	7065	11429
191	7098	11387
192	7132	11345
193	7162	11297
194	7195	11254
195	7230	11215
196	7266	11176
197	7303	11140
198	7336	11097
199	7369	11053
200	7406	11017
201	7450	10991
202	7492	10962
203	7534	10932
204	7567	10890
205	7600	10847
206	7633	10805
207	7668	10765
208	7700	10721
209	7736	10684
210	7768	10640
211	7803	10600
212	7835	10558
213	7866	10512
214	7901	10474
215	7935	10433
216	7967	10391
217	8002	10351
218	8036	10311
219	8068	10269
220	8101	10227
221	8133	10185
222	8166	10144
223	8203	10107
224	8237	10068
225	8272	10029
226	8308	9991
227	8342	9952
228	8379	9915
229	8415	9878
230	8445	9834
231	8474	9789
232	8508	9750
233	8547	9715
234	8580	9675
235	8614	9636
236	8647	9596
237	8678	9553
238	8711	9513
239	8744	9473
240	8778	9434
241	8809	9392
242	8842	9351
243	8873	9309
244	8907	9271
245	8941	9232
246	8973	9191
247	9005	9150
248	9035	9108
249	9070	9070
250	9106	9033
251	9138	8993
252	9174	8956
253	9205	8915
254	9237	8875
255	9274	8839
256	9306	8799
257	9361	8780
258	9405	8752
259	9442	8715
260	9478	8679
261	9513	8642
262	9546	8602
263	9580	8564
264	9613	8524
265	9645	8485
266	9678	8446
267	9715	8410
268	9746	8370
269	9778	8329
270	9811	8291
271	9843	8251
272	9877	8212
273	9911	8174
274	9944	8136
275	9979	8099
276	10014	8062
277	10049	8025
278	10080	7985
279	10113	7945
280	10145	7907
281	10176	7867
282	10210	7829
283	10246	7792
284	10278	7753
285	10310	7715
286	10345	7678
287	10382	7642
288	10416	7604
289	10448	7565
290	10481	7528
291	10514	7489
292	10545	7450
293	10579	7412
294	10613	7375
295	10647	7338
296	10682	7301
297	10717	7264
298	10749	7226
299	10781	7187
