model,target,status,rows,train_rows,calibration_rows,test_rows,auc,pr_auc,average_precision,calibration,ece,brier,threshold,precision,recall,trade_count,selected_positives,expectancy,profit_factor,max_drawdown,net_pnl
lgbm,directional_ce,ok,150000,105000,22500,22500,0.6007580495762306,0.4789171089648398,0.4789171089648398,isotonic_time_split,0.026917879852693716,0.2356905073743052,0.5223214285714285,0.489010989010989,0.019261984633697653,364,178,340.8729395604397,2.4053491562570346,-29365.875000000626,124077.75000000006
lgbm,directional_pe,ok,150000,105000,22500,22500,0.5622520332792883,0.45880682728186445,0.45880682728186445,isotonic_time_split,0.009774026116950687,0.2406485050878954,0.49107142857142855,0.504424778761062,0.006068348770360907,113,57,87.96238938053354,1.5204193827063683,-7003.124999999951,9939.75000000029
lgbm,quality_profitable_ce,ok,150000,105000,22500,22500,0.570721779800278,0.4596098774756801,0.4596098774756801,isotonic_time_split,0.025730271816702302,0.2398329835365332,0.4939516129032257,0.4973544973544973,0.05045625335480408,945,470,231.91746031746175,1.7301420725704546,-59284.874999999156,219162.00000000134
lgbm,quality_profitable_pe,ok,150000,105000,22500,22500,0.5310273685902129,0.44250263431358744,0.44250263431358744,isotonic_time_split,0.011960457978691346,0.24347850543208524,0.4881740775780512,0.47889701744513224,0.08975846429701509,1777,851,67.3702166572891,1.2538943671549054,-73458.3749999999,119716.87500000274
lgbm,target_hit_ce,ok,150000,105000,22500,22500,0.6290767231042065,0.5381258729304352,0.5381258729304352,isotonic_time_split,0.018232400431635733,0.2340871836168424,0.6296296296296297,0.6258992805755396,0.008948775972022217,139,87,592.3327338129467,2.167638111850904,-33210.00000000077,82334.24999999959
lgbm,target_hit_pe,ok,150000,105000,22500,22500,0.5839378200812575,0.5071391913972796,0.5071391913972796,isotonic_time_split,0.016325928208495818,0.24149713978411771,0.58972503617945,0.5781315458734814,0.13976098845452703,2387,1380,100.76173020527915,1.4550399536859375,-54454.50000000029,240518.25000000134
lgbm,stop_hit_ce,ok,150000,105000,22500,22500,0.6524479522903248,0.31012133518221935,0.31012133518221935,isotonic_time_split,0.028642134419159478,0.15320494284636302,0.44525547445255476,0.5743243243243243,0.01892252894033838,148,85,231.15962837837833,1.410730284217019,-43443.74999999999,34211.62499999999
lgbm,stop_hit_pe,ok,150000,105000,22500,22500,0.7017056144877682,0.33584954722423854,0.33584954722423854,isotonic_time_split,0.0193986852285136,0.1437837317512429,0.48148148148148145,0.5084745762711864,0.027707226968367582,236,120,428.097457627119,1.6323903593191051,-50639.24999999993,101031.00000000009
catboost,directional_ce,ok,150000,105000,22500,22500,0.6017704761289074,0.4820385533000214,0.4820385533000214,isotonic_time_split,0.018827352661545803,0.2353354747429537,0.4726695395781356,0.5103042198233563,0.3938967644194351,7133,3640,81.45480513108089,1.3966520921799808,-89085.37499999895,581017.125
catboost,directional_pe,ok,150000,105000,22500,22500,0.5660393832707203,0.46249687636880565,0.46249687636880565,isotonic_time_split,0.008859831462163336,0.2404639023513015,0.49374045801526767,0.495035046728972,0.18045352922389013,3424,1695,52.205497955608465,1.263118064234085,-50619.74999999878,178751.62500000338
