model,target,status,rows,train_rows,calibration_rows,test_rows,auc,pr_auc,average_precision,calibration,ece,brier,threshold,precision,recall,trade_count,selected_positives,expectancy,profit_factor,max_drawdown,net_pnl,selection_score,side,model_artifact_path,artifact_available,meets_expectancy_floor,meets_profit_factor_floor,meets_calibration_floor,meets_trade_count_floor,metric_viable,production_viable,rank_for_target,production_rank_for_target,global_rank
catboost,directional_ce,ok,150000,105000,22500,22500,0.6017704761289074,0.4820385533000214,0.4820385533000214,isotonic_time_split,0.0188273526615458,0.2353354747429537,0.4726695395781356,0.5103042198233563,0.3938967644194351,7133,3640,81.45480513108089,1.3966520921799808,-89085.37499999895,581017.125,0.4404654897109106,ce,D:\All Bots\trading_system\experimental\ml_pipeline_v2\artifacts\models\v2_directional_ce_catboost.joblib,False,True,True,True,True,True,False,2,2,11
random_forest,directional_ce,ok,150000,105000,22500,22500,0.6016040548773405,0.4813208802769925,0.4813208802769925,isotonic_time_split,0.0179209659089852,0.2361195301351359,0.4567642956764295,0.4805173807599029,0.6432204306893193,12370,5944,37.58764147130139,1.1974535803949573,-128766.75000000116,464959.1249999981,0.4153911274637674,ce,D:\All Bots\trading_system\experimental\ml_pipeline_v2\artifacts\models\v2_directional_ce_random_forest.joblib,False,True,True,True,True,True,False,3,3,14
xgboost,directional_pe,ok,150000,105000,22500,22500,0.5645384294925038,0.4610556315799466,0.4610556315799466,isotonic_time_split,0.0090817080921597,0.2408133004719249,0.5244755148887634,0.5256410256410257,0.013094857872884,234,123,117.56730769231083,1.7359972711859482,-9578.250000000053,27510.75000000073,0.38399854258605154,pe,D:\All Bots\trading_system\experimental\ml_pipeline_v2\artifacts\models\v2_directional_pe_xgboost.joblib,False,True,True,True,True,True,False,1,2,19
catboost,directional_pe,ok,150000,105000,22500,22500,0.5660393832707203,0.4624968763688056,0.4624968763688056,isotonic_time_split,0.0088598314621633,0.2404639023513015,0.4937404580152676,0.495035046728972,0.1804535292238901,3424,1695,52.20549795560847,1.263118064234085,-50619.74999999878,178751.62500000338,0.3629874532323793,pe,D:\All Bots\trading_system\experimental\ml_pipeline_v2\artifacts\models\v2_directional_pe_catboost.joblib,False,True,True,True,True,True,False,2,3,25
catboost,quality_profitable_ce,ok,150000,105000,22500,22500,0.5783339002277958,0.4711071669594073,0.4711071669594073,isotonic_time_split,0.0226248405701687,0.2392183953865194,0.5173745173745173,0.536,0.0215780998389694,375,201,555.3980000000006,2.259108962965648,-38952.3749999998,208274.2500000002,0.49443207251812815,ce,D:\All Bots\trading_system\experimental\ml_pipeline_v2\artifacts\models\v2_quality_profitable_ce_catboost.joblib,False,True,True,True,True,True,False,1,2,6
random_forest,quality_profitable_ce,ok,150000,105000,22500,22500,0.578539789782913,0.4681476556552189,0.4681476556552189,isotonic_time_split,0.0187388792256557,0.2394935980732968,0.4333539987600744,0.4786602870813397,0.536983360171766,10450,5002,57.50099282296671,1.2937982563096484,-121385.99999999942,600885.3750000021,0.40471906297185917,ce,D:\All Bots\trading_system\experimental\ml_pipeline_v2\artifacts\models\v2_quality_profitable_ce_random_forest.joblib,False,True,True,True,True,True,False,2,3,17
catboost,quality_profitable_pe,ok,150000,105000,22500,22500,0.5341999728290148,0.4443636937949325,0.4443636937949325,isotonic_time_split,0.0123679610973043,0.2431612200695361,0.481198410272088,0.4806899137607799,0.1352178040291108,2667,1282,80.75731158605255,1.35480899732942,-53910.37499999898,215379.75000000212,0.3259216132869465,pe,D:\All Bots\trading_system\experimental\ml_pipeline_v2\artifacts\models\v2_quality_profitable_pe_catboost.joblib,False,True,True,True,True,True,False,1,2,29
xgboost,quality_profitable_pe,ok,150000,105000,22500,22500,0.5360452309326752,0.4485549352295958,0.4485549352295958,isotonic_time_split,0.0113679522514343,0.2435166406533928,0.4634681046009063,0.4750135795763172,0.1844742115810568,3682,1749,54.234451385117765,1.2386889343198704,-89664.75000000019,199691.2500000036,0.3199986068097087,pe,D:\All Bots\trading_system\experimental\ml_pipeline_v2\artifacts\models\v2_quality_profitable_pe_xgboost.joblib,False,True,True,True,True,True,False,2,3,30
catboost,stop_hit_ce,ok,150000,105000,22500,22500,0.6502448340462517,0.3104377672490685,0.3104377672490685,isotonic_time_split,0.0304888577128599,0.1536062151869003,0.4745508982035929,0.5164835164835165,0.0627782724844167,546,282,236.1497252747242,1.4968498384458402,-50545.87500000025,128937.74999999942,0.37733336539251133,ce,D:\All Bots\trading_system\experimental\ml_pipeline_v2\artifacts\models\v2_stop_hit_ce_catboost.joblib,False,True,True,True,True,True,False,2,2,22
xgboost,stop_hit_ce,ok,150000,105000,22500,22500,0.6517217736017593,0.3105113996033881,0.3105113996033881,isotonic_time_split,0.0268185994411508,0.1534495651131397,0.4368108510971069,0.4404655326768129,0.1095280498664292,1117,492,168.56333930170092,1.450237855045171,-54971.62499999987,188285.24999999997,0.3647150198455863,ce,D:\All Bots\trading_system\experimental\ml_pipeline_v2\artifacts\models\v2_stop_hit_ce_xgboost.joblib,False,True,True,True,True,True,False,3,3,24
catboost,stop_hit_pe,ok,150000,105000,22500,22500,0.7042350166264585,0.3449760293191645,0.3449760293191645,isotonic_time_split,0.0220427278300818,0.1433249458830811,0.4385964912280701,0.5555555555555556,0.0357885015008081,279,155,272.36155913978286,1.3225512231150252,-57725.2499999999,75988.87499999942,0.46896052749166184,pe,D:\All Bots\trading_system\experimental\ml_pipeline_v2\artifacts\models\v2_stop_hit_pe_catboost.joblib,False,True,True,True,True,True,False,2,2,7
xgboost,stop_hit_pe,ok,150000,105000,22500,22500,0.7008058679521915,0.3364797864570513,0.3364797864570513,isotonic_time_split,0.0153255405049771,0.1441914048051542,0.3980582654476166,0.4723275208491281,0.1438466866774417,1319,623,144.16631918119705,1.3249975484870784,-77071.49999999991,190155.3749999989,0.4531898406964038,pe,D:\All Bots\trading_system\experimental\ml_pipeline_v2\artifacts\models\v2_stop_hit_pe_xgboost.joblib,False,True,True,True,True,True,False,3,3,10
catboost,target_hit_ce,ok,150000,105000,22500,22500,0.6283207001889981,0.5361655601636466,0.5361655601636466,isotonic_time_split,0.0177798497861563,0.2340370413882784,0.680327868852459,0.6956521739130435,0.0230405266406089,322,224,1034.0881211180154,3.1603202756063635,-39428.25000000023,332976.37500000093,0.776932066846923,ce,D:\All Bots\trading_system\experimental\ml_pipeline_v2\artifacts\models\v2_target_hit_ce_catboost.joblib,False,True,True,True,True,True,False,1,2,1
