model,target,status,rows,train_rows,calibration_rows,test_rows,auc,pr_auc,average_precision,calibration,ece,brier,threshold,precision,recall,trade_count,selected_positives,expectancy,profit_factor,max_drawdown,net_pnl,selection_score,side,model_artifact_path,artifact_available,meets_expectancy_floor,meets_profit_factor_floor,meets_calibration_floor,meets_trade_count_floor,metric_viable,production_viable,rank_for_target,production_rank_for_target,global_rank
catboost,target_hit_ce,ok,150000,105000,22500,22500,0.6283207001889981,0.5361655601636466,0.5361655601636466,isotonic_time_split,0.0177798497861563,0.2340370413882784,0.680327868852459,0.6956521739130435,0.0230405266406089,322,224,1034.0881211180154,3.1603202756063635,-39428.25000000023,332976.37500000093,0.776932066846923,ce,D:\All Bots\trading_system\experimental\ml_pipeline_v2\artifacts\models\production_candidates\v2_target_hit_ce_catboost_20260703T172612Z_ceb73b650f15.joblib,True,True,True,True,True,True,True,1,1,1
lgbm,target_hit_ce,ok,150000,105000,22500,22500,0.6290767231042065,0.5381258729304352,0.5381258729304352,isotonic_time_split,0.0182324004316357,0.2340871836168424,0.6296296296296297,0.6258992805755396,0.0089487759720222,139,87,592.3327338129467,2.167638111850904,-33210.00000000077,82334.24999999959,0.5937498239183986,ce,D:\All Bots\trading_system\experimental\ml_pipeline_v2\artifacts\models\v2_target_hit_ce_lgbm.joblib,True,True,True,True,True,True,True,2,2,2
random_forest,target_hit_ce,ok,150000,105000,22500,22500,0.6306015237372633,0.5414633391874736,0.5414633391874736,isotonic_time_split,0.0285965067309495,0.2341412535169748,0.5938242280285034,0.6297844966227083,0.2013988891174655,3109,1958,199.95738179478985,1.7746526917846974,-64137.00000000006,621667.5000000016,0.531172213325925,ce,D:\All Bots\trading_system\experimental\ml_pipeline_v2\artifacts\models\v2_target_hit_ce_random_forest.joblib,False,True,True,True,True,True,False,3,3,3
lgbm,stop_hit_pe,ok,150000,105000,22500,22500,0.7017056144877682,0.3358495472242385,0.3358495472242385,isotonic_time_split,0.0193986852285136,0.1437837317512429,0.4814814814814814,0.5084745762711864,0.0277072269683675,236,120,428.097457627119,1.6323903593191051,-50639.24999999993,101031.00000000007,0.5095131322971722,pe,D:\All Bots\trading_system\experimental\ml_pipeline_v2\artifacts\models\v2_stop_hit_pe_lgbm.joblib,True,True,True,True,True,True,True,1,1,4
xgboost,target_hit_ce,ok,150000,105000,22500,22500,0.6257711805632812,0.5306833473524876,0.5306833473524876,isotonic_time_split,0.0157119254042704,0.2346596898502518,0.6069363951683044,0.6317204301075269,0.0241719810738531,372,235,234.2822580645151,1.6236679753224872,-54837.00000000099,87152.99999999962,0.49748404456389334,ce,D:\All Bots\trading_system\experimental\ml_pipeline_v2\artifacts\models\v2_target_hit_ce_xgboost.joblib,False,True,True,True,True,True,False,4,4,5
catboost,quality_profitable_ce,ok,150000,105000,22500,22500,0.5783339002277958,0.4711071669594073,0.4711071669594073,isotonic_time_split,0.0226248405701687,0.2392183953865194,0.5173745173745173,0.536,0.0215780998389694,375,201,555.3980000000006,2.259108962965648,-38952.3749999998,208274.2500000002,0.49443207251812815,ce,D:\All Bots\trading_system\experimental\ml_pipeline_v2\artifacts\models\production_candidates\v2_quality_profitable_ce_catboost_20260703T172559Z_ceb73b650f15.joblib,True,True,True,True,True,True,True,1,1,6
catboost,stop_hit_pe,ok,150000,105000,22500,22500,0.7042350166264585,0.3449760293191645,0.3449760293191645,isotonic_time_split,0.0220427278300818,0.1433249458830811,0.4385964912280701,0.5555555555555556,0.0357885015008081,279,155,272.36155913978286,1.3225512231150252,-57725.2499999999,75988.87499999942,0.46896052749166184,pe,D:\All Bots\trading_system\experimental\ml_pipeline_v2\artifacts\models\v2_stop_hit_pe_catboost.joblib,False,True,True,True,True,True,False,2,2,7
xgboost,target_hit_pe,ok,150000,105000,22500,22500,0.5836050111333099,0.5039090093243818,0.5039090093243818,isotonic_time_split,0.0117505997071663,0.2419433265315398,0.6292682886123657,0.6241758241758242,0.0287624063196273,455,284,206.63489010989105,1.7827323530330028,-32352.375000000386,94018.8750000004,0.46145372400252993,pe,D:\All Bots\trading_system\experimental\ml_pipeline_v2\artifacts\models\production_candidates\v2_target_hit_pe_xgboost_20260703T172615Z_ceb73b650f15.joblib,True,True,True,True,True,True,True,1,1,8
lgbm,directional_ce,ok,150000,105000,22500,22500,0.6007580495762306,0.4789171089648398,0.4789171089648398,isotonic_time_split,0.0269178798526937,0.2356905073743052,0.5223214285714285,0.489010989010989,0.0192619846336976,364,178,340.8729395604397,2.4053491562570346,-29365.875000000626,124077.75000000006,0.4534950509772194,ce,D:\All Bots\trading_system\experimental\ml_pipeline_v2\artifacts\models\v2_directional_ce_lgbm.joblib,True,True,True,True,True,True,True,1,1,9
xgboost,stop_hit_pe,ok,150000,105000,22500,22500,0.7008058679521915,0.3364797864570513,0.3364797864570513,isotonic_time_split,0.0153255405049771,0.1441914048051542,0.3980582654476166,0.4723275208491281,0.1438466866774417,1319,623,144.16631918119705,1.3249975484870784,-77071.49999999991,190155.3749999989,0.4531898406964038,pe,D:\All Bots\trading_system\experimental\ml_pipeline_v2\artifacts\models\v2_stop_hit_pe_xgboost.joblib,False,True,True,True,True,True,False,3,3,10
