model,target,side,selection_score,trades,synthetic_expectancy,synthetic_profit_factor,synthetic_max_drawdown,risk_of_ruin_pct,risk_gate_passed,drawdown_gate_passed,runs,risk_of_ruin,p01_final_equity,p05_final_equity,median_final_equity,p95_final_equity,expected_final_equity,p05_max_drawdown,median_max_drawdown
catboost,target_hit_ce,ce,0.776932066846923,322,1034.0881211180154,inf,0.0,0.0,True,True,2000,0.0,1306960.713520142,1314765.4119641003,1332976.375000003,1349886.5549619123,1333036.8614129436,0.0,0.0
lgbm,target_hit_ce,ce,0.5937498239183986,139,592.3327338129467,6.783074590219675,-14237.10670086136,0.0,True,True,2000,0.0,1064344.7705993683,1069879.9950303317,1082334.2499999998,1094788.5049696676,1082520.371921491,-1916.533594346838,-1095.1620539125288
random_forest,target_hit_ce,ce,0.531172213325925,3109,199.9573817947899,4.743199304019766,-166079.18775051576,0.0,True,True,2000,0.0,1586137.6340358462,1597069.9004863608,1621667.5000000168,1646265.0995136714,1621467.9861372942,-1473.4636787842028,-1154.3297150339931
lgbm,stop_hit_pe,pe,0.5095131322971722,236,428.0974576271189,1.708276002707758,-142643.54519107845,0.0,True,True,2000,0.0,1045605.7819463646,1061907.316668022,1101031.0000000002,1140154.6833319783,1100638.1330132084,-17757.480625072378,-10322.801176385023
xgboost,target_hit_ce,ce,0.49748404456389334,372,234.28225806451502,4.119430716702899,-27938.7516232824,0.0,True,True,2000,0.0,1072585.6228084764,1076747.7305774828,1087152.9999999993,1098251.9540506834,1087243.1790016613,-1631.459948804928,-1059.820666871732
catboost,quality_profitable_ce,ce,0.49443207251812815,375,555.3980000000004,2.922340228686272,-108344.11458076711,0.0,True,True,2000,0.0,1159920.822474086,1173108.1208902444,1208274.249999999,1243440.3791097542,1207631.3692022117,-6849.340576945106,-4358.671276237816
catboost,stop_hit_pe,pe,0.46896052749166184,279,272.3615591397828,1.7657102549148167,-99239.7248335842,0.0,True,True,2000,0.0,1039303.1533120275,1050888.1180555974,1075988.8749999998,1101089.6319444017,1075802.550150374,-10544.111593577318,-6232.0035506989225
xgboost,target_hit_pe,pe,0.46145372400252993,455,206.63489010989102,4.518664809758224,-26720.042994506875,0.0,True,True,2000,0.0,1079484.0100859178,1083553.772261861,1094018.875000001,1103931.6528714055,1093977.3052863465,-1406.3180523423944,-937.5453682283405
lgbm,directional_ce,ce,0.4534950509772194,364,340.8729395604398,2.2365246307182476,-100343.93728811498,0.0,True,True,2000,0.0,1086253.87707874,1095273.2775230769,1124077.7499999998,1152882.222476923,1124129.9581063644,-7364.937293560011,-4673.522875877097
xgboost,stop_hit_pe,pe,0.4531898406964038,1319,144.16631918119666,1.1733155406633349,-1097162.8641737115,0.0,True,False,2000,0.0,1037161.7718573106,1080874.2298980784,1193798.079836728,1303079.2249386506,1190829.2753947936,-61682.29864431196,-35779.367951918044
catboost,directional_ce,ce,0.4404654897109106,7133,81.45480513108093,1.4689260481355717,-1239037.85535086,0.0,True,True,2000,0.0,1499800.171015005,1520330.9143818785,1581017.1250000144,1641703.3356181583,1580489.325914715,-9762.03011309727,-6945.105925697018
mlp,target_hit_ce,ce,0.42886608751508704,738,117.04471544715483,4.542427836478625,-24384.12410564789,0.0,True,True,2000,0.0,1076935.6264640188,1079540.695025669,1086379.0000000007,1092891.6714041263,1086421.983631268,-795.4755840764847,-560.5545771413017
