model,target,side,base_threshold,aggressive_threshold,balanced_threshold,defensive_threshold,recommended_threshold,threshold_policy,ece_buffer,risk_buffer
catboost,target_hit_ce,ce,0.680327868852459,0.650327868852459,0.680327868852459,0.730327868852459,0.680327868852459,balanced_drift_and_risk_buffer,0.0,0.0
lgbm,target_hit_ce,ce,0.6296296296296297,0.5996296296296296,0.6296296296296297,0.6796296296296297,0.6296296296296297,balanced_drift_and_risk_buffer,0.0,0.0
random_forest,target_hit_ce,ce,0.5938242280285034,0.5638242280285034,0.6024207347594529,0.652420734759453,0.6024207347594529,balanced_drift_and_risk_buffer,0.008596506730949499,0.0
lgbm,stop_hit_pe,pe,0.4814814814814814,0.4514814814814814,0.4814814814814814,0.5314814814814814,0.4814814814814814,balanced_drift_and_risk_buffer,0.0,0.0
xgboost,target_hit_ce,ce,0.6069363951683044,0.5769363951683044,0.6069363951683044,0.6569363951683045,0.6069363951683044,balanced_drift_and_risk_buffer,0.0,0.0
catboost,quality_profitable_ce,ce,0.5173745173745173,0.4873745173745173,0.519999357944686,0.569999357944686,0.519999357944686,balanced_drift_and_risk_buffer,0.0026248405701687003,0.0
catboost,stop_hit_pe,pe,0.4385964912280701,0.40859649122807007,0.4406392190581519,0.4906392190581519,0.4406392190581519,balanced_drift_and_risk_buffer,0.0020427278300817996,0.0
xgboost,target_hit_pe,pe,0.6292682886123657,0.5992682886123657,0.6292682886123657,0.6792682886123658,0.6292682886123657,balanced_drift_and_risk_buffer,0.0,0.0
lgbm,directional_ce,ce,0.5223214285714285,0.49232142857142847,0.5292393084241221,0.5792393084241222,0.5292393084241221,balanced_drift_and_risk_buffer,0.006917879852693699,0.0
xgboost,stop_hit_pe,pe,0.3980582654476166,0.36805826544761655,0.4280582654476166,0.4780582654476166,0.4280582654476166,balanced_drift_and_risk_buffer,0.0,0.03
catboost,directional_ce,ce,0.4726695395781356,0.4426695395781356,0.5026695395781356,0.5526695395781357,0.5026695395781356,balanced_drift_and_risk_buffer,0.0,0.03
mlp,target_hit_ce,ce,0.6,0.57,0.6393235740127041,0.6893235740127042,0.6393235740127041,balanced_drift_and_risk_buffer,0.0093235740127041,0.03
lgbm,target_hit_pe,pe,0.58972503617945,0.55972503617945,0.6197250361794501,0.6697250361794501,0.6197250361794501,balanced_drift_and_risk_buffer,0.0,0.03
random_forest,directional_ce,ce,0.4567642956764295,0.4267642956764295,0.48676429567642954,0.5367642956764296,0.48676429567642954,balanced_drift_and_risk_buffer,0.0,0.03
catboost,target_hit_pe,pe,0.5850253807106599,0.5550253807106599,0.6175170426497032,0.6675170426497032,0.6175170426497032,balanced_drift_and_risk_buffer,0.0024916619390433006,0.03
random_forest,stop_hit_pe,pe,0.4170471841704718,0.3870471841704718,0.45942671276686897,0.509426712766869,0.45942671276686897,balanced_drift_and_risk_buffer,0.0123795285963972,0.03
random_forest,quality_profitable_ce,ce,0.4333539987600744,0.4033539987600744,0.46335399876007444,0.5133539987600745,0.46335399876007444,balanced_drift_and_risk_buffer,0.0,0.03
xgboost,directional_ce,ce,0.4525986015796661,0.4225986015796661,0.4890396011753214,0.5390396011753215,0.4890396011753214,balanced_drift_and_risk_buffer,0.006440999595655299,0.03
xgboost,directional_pe,pe,0.5244755148887634,0.4944755148887634,0.5544755148887635,0.6044755148887635,0.5544755148887635,balanced_drift_and_risk_buffer,0.0,0.03
mlp,directional_ce,ce,0.5028790786948176,0.4728790786948176,0.5328790786948177,0.5828790786948177,0.5328790786948177,balanced_drift_and_risk_buffer,0.0,0.03
lgbm,stop_hit_ce,ce,0.4452554744525547,0.41525547445255473,0.4538976088717141,0.5038976088717141,0.4538976088717141,balanced_drift_and_risk_buffer,0.0086421344191594,0.0
catboost,stop_hit_ce,ce,0.4745508982035929,0.44455089820359295,0.4850397559164528,0.5350397559164528,0.4850397559164528,balanced_drift_and_risk_buffer,0.0104888577128599,0.0
lgbm,quality_profitable_ce,ce,0.4939516129032257,0.46395161290322573,0.499681884719928,0.5496818847199281,0.499681884719928,balanced_drift_and_risk_buffer,0.005730271816702298,0.0
xgboost,stop_hit_ce,ce,0.4368108510971069,0.4068108510971069,0.4436294505382577,0.4936294505382577,0.4436294505382577,balanced_drift_and_risk_buffer,0.006818599441150798,0.0
catboost,directional_pe,pe,0.4937404580152676,0.46374045801526764,0.5237404580152676,0.5737404580152676,0.5237404580152676,balanced_drift_and_risk_buffer,0.0,0.03
lgbm,directional_pe,pe,0.4910714285714285,0.46107142857142847,0.5210714285714285,0.5710714285714286,0.5210714285714285,balanced_drift_and_risk_buffer,0.0,0.03
random_forest,target_hit_pe,pe,0.5375531412376001,0.5075531412376001,0.5735415679543945,0.6235415679543945,0.5735415679543945,balanced_drift_and_risk_buffer,0.005988426716794299,0.03
random_forest,stop_hit_ce,ce,0.4353813559322034,0.40538135593220337,0.455352491201092,0.505352491201092,0.455352491201092,balanced_drift_and_risk_buffer,0.019971135268888596,0.0
catboost,quality_profitable_pe,pe,0.481198410272088,0.45119841027208796,0.511198410272088,0.561198410272088,0.511198410272088,balanced_drift_and_risk_buffer,0.0,0.03
xgboost,quality_profitable_pe,pe,0.4634681046009063,0.43346810460090635,0.4934681046009063,0.5434681046009063,0.4934681046009063,balanced_drift_and_risk_buffer,0.0,0.03
xgboost,quality_profitable_ce,ce,0.5,0.47,0.5090241595500045,0.5590241595500045,0.5090241595500045,balanced_drift_and_risk_buffer,0.0090241595500045,0.0
mlp,stop_hit_ce,ce,0.4780701754385965,0.4480701754385965,0.4983616742127305,0.5483616742127305,0.4983616742127305,balanced_drift_and_risk_buffer,0.020291498774134,0.0
random_forest,directional_pe,pe,0.4843807423741271,0.45438074237412707,0.5143807423741271,0.5643807423741272,0.5143807423741271,balanced_drift_and_risk_buffer,0.0,0.03
lgbm,quality_profitable_pe,pe,0.4881740775780512,0.4581740775780512,0.5181740775780512,0.5681740775780513,0.5181740775780512,balanced_drift_and_risk_buffer,0.0,0.03
mlp,stop_hit_pe,pe,0.4767441860465116,0.44674418604651156,0.5283418012284437,0.5783418012284437,0.5283418012284437,balanced_drift_and_risk_buffer,0.0215976151819321,0.03
random_forest,quality_profitable_pe,pe,0.4682841274481146,0.4382841274481146,0.49828412744811457,0.5482841274481146,0.49828412744811457,balanced_drift_and_risk_buffer,0.0,0.03
mlp,target_hit_pe,pe,0.5613057324840763,0.5313057324840763,0.6033706381536492,0.6533706381536493,0.6033706381536492,balanced_drift_and_risk_buffer,0.012064905669572901,0.03
mlp,directional_pe,pe,0.5371448134200616,0.5071448134200616,0.5785644119700808,0.6285644119700808,0.5785644119700808,balanced_drift_and_risk_buffer,0.011419598550019196,0.03
mlp,quality_profitable_pe,pe,0.4121777777777777,0.3821777777777777,0.44217777777777767,0.49217777777777766,0.44217777777777767,balanced_drift_and_risk_buffer,0.0,0.03
mlp,quality_profitable_ce,ce,0.3795111111111111,0.3495111111111111,0.4239999999999997,0.4739999999999997,0.4239999999999997,balanced_drift_and_risk_buffer,0.014488888888888597,0.03
