dimension,bucket,loss_count,total_loss_abs,avg_loss,loss_share,all_trade_count,bucket_net_pnl,bucket_profit_factor,bucket_win_rate,bucket_expectancy
target_missed,True,37861,10110236.25,-267.0356369351047,0.9781792750279062,39839,-10059181.125,0.005049844903475994,0.04964984060844901,-252.49582381585884
holding_time_bucket,target_not_reached_in_window,37861,10110236.25,-267.0356369351047,0.9781792750279062,39839,-10059181.125,0.005049844903475994,0.04964984060844901,-252.49582381585884
confidence_bucket,low_confidence,36454,9193703.625000004,-252.200132358589,0.8895034818522601,58686,-3120248.9999999986,0.6606102255118107,0.3788297038475957,-53.16854104897247
side,ce,20387,5308259.25,-260.3747118261637,0.5135813898340088,33346,-1694173.1249999993,0.6808420528820256,0.3886223235170635,-50.80588751274514
stop_hit,0,29268,5288877.75,-180.70513017630176,0.511706203028265,55550,2238223.1250000065,1.4231943392906001,0.4731233123312331,40.29204545454557
volatility_bucket,normal_volatility,21772,5270761.499999995,-242.08899044644477,0.5099534309017749,35500,-1880745.3750000002,0.6431738800930373,0.3867042253521127,-52.97874295774648
primary_failure,target_missed_long_hold,27692,5216698.125,-188.3828587678752,0.5047227249464065,27692,-5216698.125,0.0,0.0,-188.3828587678752
stop_hit,1,10946,5046892.5,-461.07185273159143,0.4882937969717352,11142,-5006342.25,0.00803469659795604,0.01759109675103213,-449.32168820678515
primary_failure,stop_hit,10946,5046892.5,-461.07185273159143,0.4882937969717352,10946,-5046892.5,0.0,0.0,-461.07185273159143
side,pe,19827,5027510.999999998,-253.568921168104,0.48641861016599114,33346,-1073945.9999999942,0.786386146146673,0.40541594194206204,-32.20614166616668
time_of_day,morning,18257,4530264.749999999,-248.138508517281,0.4383093509649172,29896,-1411816.1249999977,0.6883590247126291,0.3893162964945143,-47.22424822718751
trend_strength_bucket,strong_trend,17131,4428871.125,-258.52963195376805,0.42849937816680866,28582,-1076090.2499999937,0.7570283217486954,0.40063676439717305,-37.649228535441665
market_regime,mixed,15124,3763555.875,-248.84659316318434,0.36412921185046665,24734,-1193049.7499999974,0.6829993257373926,0.3885340017789278,-48.23521266273136
volatility_bucket,high_volatility,11231,3624071.6250000047,-322.684678568249,0.35063391864771815,20804,-9436.874999995765,0.9973960572592173,0.46015189386656413,-0.45360868102267665
trend_strength_bucket,moderate_trend,12208,3127135.125,-256.1545810124509,0.3025546281855482,20140,-882601.4999999984,0.7177603574134015,0.3938430983118173,-43.82331181727896
time_of_day,afternoon,11023,2798599.124999993,-253.88724711965827,0.27076831791999184,18212,-793284.749999996,0.7165422003767695,0.3947397320448056,-43.55835438172612
trend_strength_bucket,low_adx,10875,2779763.999999998,-255.61048275862052,0.2689459936476431,17970,-809427.3750000012,0.7088143543840407,0.39482470784641066,-45.04325959933229
market_regime,range,10501,2644157.6249999986,-251.8005547090752,0.2558258901894611,17238,-831084.0000000016,0.6856904474444855,0.390822601229841,-48.21232161503664
market_regime,volatile_trend,8477,2395235.250000002,-282.55694821281133,0.2317423077394742,14702,-298645.49999999796,0.8753168399638416,0.4234117807101075,-20.3132566997686
day_of_week,Monday,8467,2156884.8749999986,-254.7401529467342,0.20868158084299512,13860,-570946.4999999992,0.7352911568819824,0.3891053391053391,-41.19383116883111
