source,recommendation_type,action,evidence,expected_effect,confidence,schema_version,research_only
profitability_optimizer,entry_filter,all require quality confidence >= 0.4358,"18447 trades, net PnL 531238.50, PF 1.19, win rate 51.44%, expectancy lift CI low 63.56",Improves offline expectancy with positive 95pct lower-bound lift.,high,phase5.profitability_intelligence.v1,True
profitability_optimizer,entry_filter,all require directional confidence >= 0.4645,"16042 trades, net PnL 424159.88, PF 1.17, win rate 50.09%, expectancy lift CI low 60.53",Improves offline expectancy with positive 95pct lower-bound lift.,high,phase5.profitability_intelligence.v1,True
profitability_optimizer,entry_filter,ce require quality confidence >= 0.4358,"10731 trades, net PnL 210078.00, PF 1.12, win rate 50.46%, expectancy lift CI low 61.32",Improves offline expectancy with positive 95pct lower-bound lift.,high,phase5.profitability_intelligence.v1,True
profitability_optimizer,entry_filter,pe require directional confidence >= 0.4645,"7674 trades, net PnL 387835.88, PF 1.35, win rate 53.41%, expectancy lift CI low 72.17",Improves offline expectancy with positive 95pct lower-bound lift.,high,phase5.profitability_intelligence.v1,True
profitability_optimizer,entry_filter,pe require quality confidence >= 0.4519,"7714 trades, net PnL 320212.13, PF 1.29, win rate 52.80%, expectancy lift CI low 63.62",Improves offline expectancy with positive 95pct lower-bound lift.,high,phase5.profitability_intelligence.v1,True
profitability_optimizer,entry_filter,pe require directional confidence >= 0.4607,"14357 trades, net PnL 361577.25, PF 1.17, win rate 50.14%, expectancy lift CI low 49.66",Improves offline expectancy with positive 95pct lower-bound lift.,high,phase5.profitability_intelligence.v1,True
profitability_optimizer,entry_filter,pe require directional confidence >= 0.4468,"16846 trades, net PnL 263482.13, PF 1.11, win rate 48.78%, expectancy lift CI low 40.65",Improves offline expectancy with positive 95pct lower-bound lift.,high,phase5.profitability_intelligence.v1,True
regime_performance_matrix,avoid_or_reduce,Reduce or disable all trades in mixed,"24734 trades, net PnL -1193049.75, expectancy -48.24, 95pct lift CI high -1.86",Avoids a statistically weak segment in offline validation.,high,phase5.profitability_intelligence.v1,True
regime_performance_matrix,avoid_or_reduce,Reduce or disable all trades in Low Volatility,"10388 trades, net PnL -877936.87, expectancy -84.51, 95pct lift CI high -37.89",Avoids a statistically weak segment in offline validation.,high,phase5.profitability_intelligence.v1,True
regime_performance_matrix,avoid_or_reduce,Reduce or disable all trades in range,"17238 trades, net PnL -831084.00, expectancy -48.21, 95pct lift CI high -1.07",Avoids a statistically weak segment in offline validation.,high,phase5.profitability_intelligence.v1,True
regime_performance_matrix,avoid_or_reduce,Reduce or disable ce trades in mixed,"12367 trades, net PnL -730332.37, expectancy -59.05, 95pct lift CI high -1.47",Avoids a statistically weak segment in offline validation.,high,phase5.profitability_intelligence.v1,True
regime_performance_matrix,avoid_or_reduce,Reduce or disable ce trades in Low Volatility,"5194 trades, net PnL -515321.63, expectancy -99.21, 95pct lift CI high -41.49",Avoids a statistically weak segment in offline validation.,high,phase5.profitability_intelligence.v1,True
regime_performance_matrix,avoid_or_reduce,Reduce or disable pe trades in Low Volatility,"5194 trades, net PnL -362615.25, expectancy -69.81, 95pct lift CI high -30.09",Avoids a statistically weak segment in offline validation.,high,phase5.profitability_intelligence.v1,True
strategy_optimizer,research_strategy,"Research none without confidence threshold, reward 22.50, stop 30.00, risk x1.25, trailing=True, partial=0.00","66692 trades, net PnL 10209802.88, PF 3.67, expectancy 153.09","Ranks strategy settings by profitability, not ML score.",medium,phase5.profitability_intelligence.v1,True
strategy_optimizer,research_strategy,"Research none without confidence threshold, reward 22.50, stop 22.50, risk x1.25, trailing=True, partial=0.00","66692 trades, net PnL 10063439.81, PF 3.63, expectancy 150.89","Ranks strategy settings by profitability, not ML score.",medium,phase5.profitability_intelligence.v1,True
strategy_optimizer,research_strategy,"Research none without confidence threshold, reward 18.75, stop 30.00, risk x1.25, trailing=True, partial=0.00","66692 trades, net PnL 9983054.25, PF 3.61, expectancy 149.69","Ranks strategy settings by profitability, not ML score.",medium,phase5.profitability_intelligence.v1,True
strategy_optimizer,research_strategy,"Research none without confidence threshold, reward 18.75, stop 22.50, risk x1.25, trailing=True, partial=0.00","66692 trades, net PnL 9808758.75, PF 3.56, expectancy 147.08","Ranks strategy settings by profitability, not ML score.",medium,phase5.profitability_intelligence.v1,True
strategy_optimizer,research_strategy,"Research none without confidence threshold, reward 22.50, stop 15.00, risk x1.25, trailing=True, partial=0.00","66692 trades, net PnL 9774360.38, PF 3.55, expectancy 146.56","Ranks strategy settings by profitability, not ML score.",medium,phase5.profitability_intelligence.v1,True
