filter_key,category,context,description,net_profitability_improvement,statistical_confidence,trade_reduction,risk_reduction,rank_score,trade_count,net_pnl,profit_factor,win_rate,expectancy,max_drawdown,avg_winner,avg_loser,trade_coverage,net_pnl_delta,profit_factor_delta,expectancy_delta,max_drawdown_delta,baseline_trades,baseline_net_pnl,baseline_expectancy,baseline_profit_factor,baseline_win_rate,baseline_max_drawdown,baseline_avg_winner,baseline_avg_loser,expectancy_lift,expectancy_lift_ci_low,expectancy_lift_ci_high,p_value_approx,statistically_acceptable
all:min_confidence_0.4358,minimum_confidence,all,all require quality confidence >= 0.4358,3299357.624999999,1.0,0.7234001079589756,0.9485279794311323,4.8834771397014585,18447,531238.500000006,1.1900046366605768,0.514446793516561,28.79809725158595,-142487.99999999895,350.5966675447841,-312.1495897063744,0.2765998920410244,3299357.624999999,0.45782397262153174,70.30411184104184,2625773.249999998,66692,-2768119.124999993,-41.5060145894559,0.732180664039045,0.39701913272956274,-2768261.249999997,285.8090159755271,-257.0192035112149,70.30411184104184,63.559153527032706,77.04907015505098,9.145188022636535e-93,True
all:min_directional_confidence_0.4645,minimum_confidence,all,all require directional confidence >= 0.4645,3192279.0,1.0,0.7594614046662268,0.9734270925477146,4.761574093521441,16042,424159.87500000687,1.1650837588889449,0.5009350455055479,26.440585650168735,-73560.74999999761,372.51387506222056,-320.92950599550306,0.24053859533377317,3192279.0,0.43290309484989986,67.94660023962464,2694700.4999999995,66692,-2768119.124999993,-41.5060145894559,0.732180664039045,0.39701913272956274,-2768261.249999997,285.8090159755271,-257.0192035112149,67.94660023962464,60.5329405639953,75.36025991525399,3.762576595029488e-72,True
all:min_directional_confidence_0.4468,minimum_confidence,all,all require directional confidence >= 0.4468,3068415.0000000023,1.0,0.6192196965153242,0.96013549118603,4.503610254732799,25395,300295.8750000092,1.0754367203642587,0.4819846426461902,11.825000000000362,-110355.37499999645,349.7598958333338,-302.6047320410488,0.38078030348467584,3068415.0000000023,0.3432560563252137,53.33101458945626,2657905.875000001,66692,-2768119.124999993,-41.5060145894559,0.732180664039045,0.39701913272956274,-2768261.249999997,285.8090159755271,-257.0192035112149,53.33101458945626,47.50597635467671,59.15605282423581,5.275822227972022e-72,True
all:min_confidence_0.4311,minimum_confidence,all,all require quality confidence >= 0.4311,2963544.7499999995,1.0,0.5189827865411143,0.9159968193030915,4.303993745740987,32080,195425.62500000637,1.0402159150952517,0.4783977556109726,6.09182122817975,-232542.74999999933,329.36963250146636,-290.4087805533973,0.48101721345888565,2963544.7499999995,0.30803525105620666,47.597835817635655,2535718.4999999977,66692,-2768119.124999993,-41.5060145894559,0.732180664039045,0.39701913272956274,-2768261.249999997,285.8090159755271,-257.0192035112149,47.597835817635655,42.445217643789604,52.750453991481706,2.8733602708667823e-73,True
all:min_confidence_0.4240,minimum_confidence,all,all require quality confidence >= 0.4240,2831762.6250000014,1.0,0.47681880885263594,0.9006826035656864,4.116227126125707,34892,63643.50000000821,1.0120390966322028,0.47211395162214836,1.82401410065368,-274936.49999999837,324.77661172828294,-287.0080691134153,0.523181191147364,2831762.6250000014,0.2798584325931578,43.33002869010958,2493324.749999999,66692,-2768119.124999993,-41.5060145894559,0.732180664039045,0.39701913272956274,-2768261.249999997,285.8090159755271,-257.0192035112149,43.33002869010958,38.3781897560019,48.281867624217256,6.223985402622017e-66,True
all:min_directional_confidence_0.4214,minimum_confidence,all,all require directional confidence >= 0.4214,2562320.625000002,1.0,0.4665477118694896,0.9023890447478555,3.7721200620160618,35577,-205798.49999999136,0.9635257607174114,0.45841414396941843,-5.784593979256018,-270212.6249999955,333.3434759948498,-292.8325332156943,0.5334522881305104,2562320.625000002,0.23134509667836634,35.721420610199885,2498048.625000002,66692,-2768119.124999993,-41.5060145894559,0.732180664039045,0.39701913272956274,-2768261.249999997,285.8090159755271,-257.0192035112149,35.721420610199885,30.74103922682048,40.70180199357929,6.884568725961906e-45,False
all:only_day_sunday,day_filter,all,all trade only Sunday,2774399.624999993,0.9421452312129094,0.9950518802854915,0.99579614279541,3.504972048104494,330,6280.499999999849,1.10096577002375,0.4393939393939394,19.031818181817723,-11637.375000000038,472.3086206896543,-336.2391891891893,0.004948119714508487,2774399.624999993,0.36878510598470504,60.53783277127363,2756623.874999997,66692,-2768119.124999993,-41.5060145894559,0.732180664039045,0.39701913272956274,-2768261.249999997,285.8090159755271,-257.0192035112149,60.53783277127363,-2.0171839405417344,123.092849483089,0.05785476878709065,False
all:only_regime_volatile_trend,regime_filter,all,all trade only regime=volatile_trend,2469473.624999995,0.9999999959884578,0.7795537695675643,0.8665918453325163,3.447841377950306,14702,-298645.49999999796,0.8753168399638416,0.4234117807101075,-20.3132566997686,-369308.62500000134,336.80156626506084,-282.55694821281133,0.22044623043243566,2469473.624999995,0.14313617592479655,21.1927578896873,2398952.624999996,66692,-2768119.124999993,-41.5060145894559,0.732180664039045,0.39701913272956274,-2768261.249999997,285.8090159755271,-257.0192035112149,21.1927578896873,14.132967718535934,28.252548060838667,4.01154218311007e-09,False
all:only_day_thursday,day_filter,all,all trade only Thursday,2321041.8749999935,0.9194365683785707,0.8110418041144365,0.8385477978279686,3.091213217201126,12602,-447077.24999999977,0.7752383343966194,0.4073162990001587,-35.47669020790349,-446941.87499999994,300.4168614845121,-266.3163743473022,0.18895819588556348,2321041.8749999935,0.04305767035757435,6.029324381552414,2321319.374999997,66692,-2768119.124999993,-41.5060145894559,0.732180664039045,0.39701913272956274,-2768261.249999997,285.8090159755271,-257.0192035112149,6.029324381552414,-0.7334651512399581,12.792113914344785,0.08056343162142936,False
all:only_day_tuesday,day_filter,all,all trade only Tuesday,2288685.374999998,0.8151772431412329,0.8056738439393031,0.8268388234672603,3.0382765126266946,12960,-479433.74999999505,0.762364441189621,0.4127314814814815,-36.99334490740703,-479355.3749999919,287.5459197980943,-265.0790796216005,0.19432615606069695,2288685.374999998,0.030183777150575963,4.512669682048873,2288905.875000005,66692,-2768119.124999993,-41.5060145894559,0.732180664039045,0.39701913272956274,-2768261.249999997,285.8090159755271,-257.0192035112149,4.512669682048873,-2.1573841901261126,11.182723554223859,0.18482275685876715,False
all:only_regime_trend,regime_filter,all,all trade only regime=trend,2322779.2499999967,0.5778010161296043,0.8497870809092545,0.8391018459692003,2.9606245953248846,10018,-445339.8749999963,0.709463968896576,0.3898981832701138,-44.45397035336357,-445408.1249999933,278.4131144393245,-250.7888579842928,0.15021291909074552,2322779.2499999967,-0.02271669514246899,-2.9479557639076717,2322853.1250000037,66692,-2768119.124999993,-41.5060145894559,0.732180664039045,0.39701913272956274,-2768261.249999997,285.8090159755271,-257.0192035112149,-2.9479557639076717,-10.146941973505797,4.251030445690454,0.4221989838703957,False
all:only_day_monday,day_filter,all,all trade only Monday,2197172.624999994,0.07473892822816075,0.7921789719906436,0.7932324848314083,2.886121707980271,13860,-570946.4999999992,0.7352911568819824,0.3891053391053391,-41.19383116883111,-572386.4999999993,294.0734980530315,-254.7401529467342,0.20782102800935645,2197172.624999994,0.003110492842937407,0.3121834206247911,2195874.749999998,66692,-2768119.124999993,-41.5060145894559,0.732180664039045,0.39701913272956274,-2768261.249999997,285.8090159755271,-257.0192035112149,0.3121834206247911,-6.210442986048826,6.834809827298408,0.9252610717718392,False
all:min_adx_30,minimum_trend_strength,all,all require ADX >= 30,2098446.749999998,0.9081170894428434,0.7248245666646674,0.7580505633274326,2.84833060597213,18352,-669672.3749999948,0.7642887472844216,0.40360723626852657,-36.49043019834322,-669779.2499999969,293.1549210206569,-259.5770557332115,0.27517543333533256,2098446.749999998,0.03210808324537662,5.015584391112682,2098482.0000000005,66692,-2768119.124999993,-41.5060145894559,0.732180664039045,0.39701913272956274,-2768261.249999997,285.8090159755271,-257.0192035112149,5.015584391112682,-0.81667073553007,10.847839517755435,0.09188291055715658,False
ce:min_confidence_0.4358,minimum_confidence,ce,ce require quality confidence >= 0.4358,1904251.1250000005,1.0,0.3390961434654831,0.685063729082651,2.7644565643554055,44077,-863867.9999999925,0.8715731939213852,0.42956644054722415,-19.599065272137228,-871825.8749999983,309.6372464878,-267.53130593007984,0.6609038565345169,1904251.1250000005,0.1393925298823402,21.906949317318674,1896435.374999999,66692,-2768119.124999993,-41.5060145894559,0.732180664039045,0.39701913272956274,-2768261.249999997,285.8090159755271,-257.0192035112149,21.906949317318674,17.514171027275374,26.299727607361973,1.4473764573474712e-22,False
