strategy,total_pnl,avg_pnl,profit_factor,win_rate,trades
early_75pct_mfe,15304610.62500002,229.4819562316323,7.839780817546682,0.6525520302285132,66692
early_50pct_mfe,7268625.750000013,108.98797082108818,3.749213021365376,0.5621963653811551,66692
trailing_80pct,11704558.350000018,175.50168460984852,2.583089583454346,0.6632429676722845,66692
trailing_60pct,5398179.450000013,80.94193381515043,1.71721294707027,0.6079439812871109,66692
time_exit_6bars,2199275.2644418143,32.97659785944062,1.4516020013237982,0.39701913272956274,66692
time_exit_8bars,962476.5013986074,14.431663488853346,1.149547645472692,0.39701913272956274,66692
atr_trailing,-887187.3309636271,-13.302754917585723,0.9144811356404262,0.3100521801715348,66692
partial_50pct_at_target,-1257874.124999996,-18.860944716007857,0.8756555266211136,0.4312961074791579,66692
actual,-2768119.124999993,-41.5060145894559,0.732180664039045,0.39701913272956274,66692
breakeven_stop,-2853181.124999994,-42.78145992023022,0.7262041018844734,0.39701913272956274,66692
