trade_idx,check_bar,eqs,action,actual_pnl,outcome
0,3,43.0,ScaleOut,-135.37500000000546,loss
1,3,70.0,Hold,-112.87500000000546,loss
2,3,38.0,ScaleOut,-78.74999999998363,loss
3,3,70.0,Hold,-144.00000000001637,loss
4,3,45.0,ScaleOut,-249.75000000003277,loss
5,3,65.0,Trail,27.000000000032745,win
6,3,55.0,Trail,-263.25,loss
7,3,58.0,Trail,40.5,win
8,3,38.0,ScaleOut,-218.62499999999451,loss
9,3,70.0,Hold,-37.500000000010914,loss
10,3,38.0,ScaleOut,-193.50000000003277,loss
11,3,70.0,Hold,-40.49999999996726,loss
12,3,35.0,ScaleOut,-231.7499999999673,loss
13,3,73.0,Hold,-2.250000000032742,loss
14,3,55.0,Trail,-247.49999999998363,loss
15,3,53.0,Trail,13.499999999983627,win
16,3,25.0,Exit,-312.7499999999891,loss
17,3,78.0,Hold,139.49999999997817,win
18,3,45.0,ScaleOut,-284.99999999995634,loss
19,3,53.0,Trail,104.24999999994544,win
20,3,25.0,Exit,-281.62500000000546,loss
21,3,78.0,Hold,100.87499999999454,win
22,3,55.0,Trail,-224.25000000002183,loss
23,3,53.0,Trail,43.500000000010914,win
24,3,63.0,Trail,-236.62500000000543,loss
25,3,50.0,Trail,55.87499999999454,win
26,3,25.0,Exit,-151.12499999999454,loss
27,3,73.0,Hold,-26.250000000010917,loss
28,3,45.0,ScaleOut,-221.99999999997272,loss
29,3,58.0,Trail,45.74999999997817,win
30,3,55.0,Trail,-309.75000000000546,loss
31,3,58.0,Trail,133.5000000000109,win
32,3,38.0,ScaleOut,-230.6250000000109,loss
33,3,70.0,Hold,3.375000000021828,win
34,3,25.0,Exit,-164.24999999999454,loss
35,3,80.0,Hold,-62.99999999999454,loss
36,3,55.0,Trail,-267.7499999999891,loss
37,3,58.0,Trail,59.62499999999454,win
38,3,25.0,Exit,-277.87500000000546,loss
39,3,85.0,Hold,69.75000000001091,win
40,3,63.0,Trail,-67.12500000004366,loss
41,3,50.0,Trail,-173.9999999999618,loss
42,3,35.0,ScaleOut,-246.375,loss
43,3,73.0,Hold,6.75,win
44,3,25.0,Exit,-125.24999999998909,loss
45,3,73.0,Hold,-129.75000000000546,loss
46,3,45.0,ScaleOut,-246.74999999999451,loss
47,3,58.0,Trail,7.499999999989086,win
48,3,55.0,Trail,-244.5,loss
49,3,58.0,Trail,3.0,win
50,3,43.0,ScaleOut,-195.0000000000382,loss
51,3,70.0,Hold,24.375000000043656,win
52,3,63.0,Trail,-191.62500000000543,loss
53,3,50.0,Trail,21.000000000010917,win
54,3,25.0,Exit,-252.37500000002183,loss
55,3,78.0,Hold,81.75000000002728,win
56,3,55.0,Trail,-271.4999999999891,loss
57,3,58.0,Trail,100.87499999999454,win
58,3,25.0,Exit,-315.37500000000546,loss
59,3,78.0,Hold,144.7500000000109,win
60,3,25.0,Exit,-208.50000000003277,loss
61,3,73.0,Hold,0.7500000000327418,win
62,3,45.0,ScaleOut,-360.3750000000055,loss
63,3,40.0,ScaleOut,234.7500000000109,win
64,3,53.0,Trail,-22.875000000060027,loss
65,3,40.0,ScaleOut,-160.12499999994543,loss
66,3,40.0,ScaleOut,184.87500000002728,win
67,3,60.0,Trail,-306.7500000000218,loss
68,3,40.0,ScaleOut,242.2500000000109,win
69,3,60.0,Trail,-364.1250000000055,loss
70,3,25.0,Exit,56.249999999989086,win
71,3,63.0,Trail,-221.62499999997817,loss
72,3,45.0,ScaleOut,14.624999999967258,win
73,3,55.0,Trail,-165.3749999999509,loss
74,3,45.0,ScaleOut,29.25,win
75,3,48.0,ScaleOut,-179.99999999998363,loss
76,3,33.0,ScaleOut,118.12500000001636,win
77,3,65.0,Trail,-268.875,loss
78,3,60.0,Trail,184.50000000003277,win
79,3,50.0,Trail,-335.2500000000164,loss
80,3,40.0,ScaleOut,124.1250000000382,win
81,3,70.0,Hold,-303.37500000004366,loss
82,3,33.0,ScaleOut,48.749999999989086,win
83,3,70.0,Hold,-227.99999999999451,loss
84,3,70.0,Hold,-79.49999999994543,loss
85,3,50.0,Trail,-99.75000000006004,loss
86,3,43.0,ScaleOut,-69.37500000001091,loss
87,3,70.0,Hold,-109.87499999999454,loss
88,3,70.0,Hold,-67.50000000001091,loss
89,3,50.0,Trail,-75.37499999997817,loss
90,3,58.0,Trail,-299.24999999999454,loss
91,3,50.0,Trail,156.37500000000546,win
92,3,35.0,ScaleOut,-274.5,loss
93,3,78.0,Hold,164.25,win
94,3,45.0,ScaleOut,-314.99999999998363,loss
95,3,65.0,Trail,204.74999999998363,win
96,3,25.0,Exit,-375.75,loss
97,3,65.0,Trail,265.5,win
98,3,25.0,Exit,-194.99999999998363,loss
99,3,80.0,Hold,65.99999999998363,win
100,3,63.0,Trail,-158.62499999996726,loss
101,3,50.0,Trail,48.37499999996726,win
102,3,50.0,Trail,-117.7499999999618,loss
103,3,70.0,Hold,44.24999999997272,win
104,3,70.0,Hold,-34.500000000027285,loss
105,3,70.0,Hold,-38.9999999999618,loss
106,3,25.0,Exit,-285.3749999999782,loss
107,3,73.0,Hold,211.8749999999891,win
108,3,45.0,ScaleOut,-412.5000000000109,loss
109,3,85.0,Hold,339.0000000000218,win
110,3,25.0,Exit,-351.74999999999454,loss
111,3,65.0,Trail,217.4999999999891,win
112,3,63.0,Trail,-139.87499999996726,loss
113,3,50.0,Trail,-40.87500000001637,loss
