method,param_mult,profit_factor,avg_pnl,avg_mfe_capture_pct,avg_exit_bar,param_be_pts,param_trail_mult
atr_trail_2.5x,2.5,0.60237559360105,-133.84865715001746,-1953222575207.5364,9.286870989024171,,
vol_adaptive_2.0x,2.0,0.5742996573486532,-135.37326202188834,-77094433.6931643,8.147393990283692,,
atr_trail_2.0x,2.0,0.5456616595788858,-146.02699269336162,-1781778143672.2134,8.160184130030588,,
atr_trail_1.5x,1.5,0.40117704848773644,-176.10176585810632,-1486550905622.314,6.286900977628501,,
vol_adaptive_1.5x,1.5,0.39731096773596963,-175.02172153537114,-63893451.865598254,6.207641096383374,,
be8_trail1.5x,,0.2589096600857058,-237.93010810502557,,8.290034786781023,8.0,1.5
be10_trail1.0x,,0.22528794540380734,-244.6225347483995,,8.22830324476699,10.0,1.0
be8_trail1.0x,,0.1790855292488796,-253.93102992373574,,7.657335212619205,8.0,1.0
atr_trail_1.0x,1.0,0.16887149058614148,-210.42996060993804,-1165070468302.288,3.529703712589216,,
atr_trail_0.5x,0.5,0.09511158069647659,-173.02509560857035,-754885153034.4153,1.4726503928507166,,
