rank,strategy,profit_factor,expected_pf_improvement,expectancy,win_rate,avg_exit_bar,implementation_complexity,live_feasible,statistical_confidence
1,atr_trail_2.5,0.60237559360105,-0.12980507043799505,-133.84865715001746,0.38266958555748815,9.286870989024171,low,True,high
2,time_10bars,0.6022830671166842,-0.1298975969223608,-132.0,0.4059707311221736,9.0,low,True,high
3,vol_adaptive,0.5742996573486532,-0.15788100669039185,-135.37326202188834,0.3451688358423799,8.147393990283692,medium,True,high
4,time_8bars,0.5642137806524127,-0.16796688338663235,-132.0,0.3941702153181791,7.0,low,True,high
5,atr_trail_2.0,0.5456616595788858,-0.18651900446015923,-146.02699269336162,0.34738799256282615,8.160184130030588,low,True,high
6,time_6bars,0.5095696202870137,-0.22261104375203133,-132.0,0.3732981467042524,5.0,low,True,high
7,vwap_exit,0.5045814953041715,-0.2275991687348735,-126.79298116715648,0.30206021711749537,5.377766448749475,low,True,high
8,partial_runner,0.5043989188362941,-0.22778174520275096,-152.74466267934463,0.48404606249625143,10.271561806513525,medium,True,high
9,supertrend_exit,0.48246619209201885,-0.24971447194702617,-137.20470221315918,0.3022251544413123,5.309257482156781,low,True,high
10,ema20_exit,0.46829079852344513,-0.2638898655155999,-132.03315240208713,0.24613147004138428,4.259056558507767,low,True,high
11,momentum_exhaust,0.4641219536808351,-0.26805871035820994,-127.19809722305527,0.4355844778983986,5.470161338691297,medium,True,high
12,atr_trail_1.5,0.40117704848773644,-0.3310036155513086,-176.10176585810632,0.2808132909494392,6.286900977628501,low,True,high
13,chandelier_1.5,0.3341007540606449,-0.39807990997840015,-163.29180598083948,0.22579919630540396,4.320368260061176,low,True,high
14,be_trail_1.5,0.2589096600857058,-0.4732710039533392,-237.93010810502557,0.2424278774065855,8.290034786781023,medium,True,high
15,be_trail_1.0,0.1790855292488796,-0.5530951347901654,-253.93102992373574,0.2794787980567384,7.657335212619205,medium,True,high
16,chandelier_1.0,0.14880070900099668,-0.5833799550380483,-157.95567099610486,0.1552809932225754,1.9345348767468362,low,True,high
