strategy,trades,total_pnl,profit_factor,win_rate,avg_pnl,avg_winner,avg_loser,max_drawdown,avg_exit_bar,avg_mfe_capture_pct,pf_vs_baseline,expectancy_vs_baseline
actual,66692,-2768119.124999993,0.732180664039045,0.39701913272956274,-41.5060145894559,285.8090159755271,-257.0192035112149,-2768396.624999997,9.972365501109579,-879685886461.2947,0.0,0.0
atr_trail_2.5,66692,-8926634.642648965,0.60237559360105,0.38266958555748815,-133.84865715001746,529.88839221589,-545.2846979765051,-8926634.642649004,9.286870989024171,-2002974096158.2937,-0.12980507043799505,-92.34264256056156
time_10bars,66692,-8803344.0,0.6022830671166842,0.4059707311221736,-132.0,492.3860941828259,-558.7171542519629,-8804077.5,9.0,-1799799326189.7747,-0.1298975969223608,-90.4939854105441
vol_adaptive,66692,-9028313.590763777,0.5742996573486532,0.3451688358423799,-135.37326202188834,529.0976999886933,-485.62334320625354,-9029130.723642077,8.147393990283692,-1733458209139.9128,-0.15788100669039185,-93.86724743243244
time_8bars,66692,-8803344.0,0.5642137806524127,0.3941702153181791,-132.0,433.5710970785156,-499.9767597267602,-8803999.5,7.0,-1532417821623.957,-0.16796688338663235,-90.4939854105441
atr_trail_2.0,66692,-9738832.196705673,0.5456616595788858,0.34738799256282615,-146.02699269336162,504.8500348298416,-492.4914484799982,-9738882.871153299,8.160184130030588,-1743210484835.6624,-0.18651900446015923,-104.52097810390572
time_6bars,66692,-8803344.0,0.5095696202870137,0.3732981467042524,-132.0,367.4043219794349,-429.4727246626474,-8803344.0,5.0,-1206493685235.7603,-0.22261104375203133,-90.4939854105441
vwap_exit,66692,-8456077.5,0.5045814953041715,0.30206021711749537,-126.79298116715648,427.52427401340265,-366.6950394225191,-8456077.499999998,5.377766448749475,-1047802651840.9495,-0.2275991687348735,-85.28696657770058
partial_runner,66692,-10186847.043410853,0.5043989188362941,0.48404606249625143,-152.74466267934463,321.15985556642596,-597.3417466087245,-10187031.380634487,10.271561806513525,-1712960521550.0315,-0.22778174520275096,-111.23864808988873
supertrend_exit,66692,-9150456.000000011,0.48246619209201885,0.3022251544413123,-137.20470221315918,423.22035622147223,-379.9399497163488,-9150455.999999994,5.309257482156781,-1329101838664.2075,-0.24971447194702617,-95.69868762370328
ema20_exit,66692,-8805554.999999994,0.46829079852344513,0.24613147004138428,-132.03315240208713,472.45156868717623,-329.39211766811854,-8805555.00000001,4.259056558507767,-1022544635848.1501,-0.2638898655155999,-90.52713781263122
momentum_exhaust,66692,-8483095.500000002,0.4641219536808351,0.4355844778983986,-127.19809722305527,252.91487091222018,-420.548124435471,-8484393.0,5.470161338691297,-676222626427.1891,-0.26805871035820994,-85.69208263359937
atr_trail_1.5,66692,-11744578.968608826,0.40117704848773644,0.2808132909494392,-176.10176585810632,420.1299990155704,-408.9061293923032,-11744785.349444382,6.286900977628501,-1411997617188.072,-0.3310036155513086,-134.59575126865042
chandelier_1.5,66692,-10890257.124474147,0.3341007540606449,0.22579919630540396,-163.29180598083948,362.83647012386547,-316.7395179065605,-10890257.124473955,4.320368260061176,-1044374501497.7852,-0.39807990997840015,-121.78579139138358
be_trail_1.5,66692,-15868034.769740365,0.2589096600857058,0.2424278774065855,-237.93010810502557,342.8814143858569,-423.7934739436882,-15868241.15057587,8.290034786781023,-1779990561481.8394,-0.4732710039533392,-196.42409351556967
be_trail_1.0,66692,-16935168.247673783,0.1790855292488796,0.2794787980567384,-253.93102992373574,198.21179327307598,-429.3100922417049,-16935530.334897567,7.657335212619205,-1779990561481.8384,-0.5530951347901654,-212.42501533427983
chandelier_1.0,66692,-10534379.610072225,0.14880070900099668,0.1552809932225754,-157.95567099610486,177.82412067007124,-219.68059861778403,-10534379.610072197,1.9345348767468362,-666346717632.8635,-0.5833799550380483,-116.44965640664896
