fold,target,model,status,train_rows,calibration_rows,test_rows,train_date_min,train_date_max,calibration_date_min,calibration_date_max,test_date_min,test_date_max,auc,average_precision,pr_auc,brier,ece,target_rate,prob_mean,prob_std,prob_p05,prob_p50,prob_p95,threshold,precision,recall,trade_count,selected_positives,expectancy,profit_factor,max_drawdown,net_pnl,train_max_index,inner_train_max_index,inner_cal_min_index,inner_cal_max_index,test_min_index,nominal_train_end_index,required_purge_bars,required_embargo_bars,actual_gap_bars,passed
1,directional_ce,lgbm,ok,39991,9997,75867,2021-01-01T09:29:00,2021-06-10T12:35:00,2021-06-10T12:36:00,2021-07-19T10:27:00,2021-07-19T10:52:00,2022-05-16T11:52:00,0.6418087018372659,0.4371265057166851,0.4371265057166851,0.22021407651560412,0.09194494898707216,0.3332147046805594,0.2513553672359784,0.15018946511513662,0.07094594594594594,0.25287356321839083,0.4150641025641026,0.6285714285714286,0.5588025659301497,0.0310126582278481,1403,784,190.24233784746963,2.0095027373556844,-19666.124999999724,266909.9999999999,49987,39990,39991,49987,50012,50000,12,12,24,True
1,directional_pe,lgbm,ok,39991,9997,75867,2021-01-01T09:29:00,2021-06-10T12:35:00,2021-06-10T12:36:00,2021-07-19T10:27:00,2021-07-19T10:52:00,2022-05-16T11:52:00,0.625148171167154,0.4197353258451031,0.4197353258451031,0.22301575490399206,0.09091903720140071,0.33809166040571,0.2471726232043093,0.07827742442223955,0.09935897435897435,0.2431311560393987,0.3684210526315789,0.3684210526315789,0.46135967460778615,0.09286549707602339,5163,2382,-1.6573213248112524,0.989649039004587,-100790.25000000153,-8556.750000000497,49987,39990,39991,49987,50012,50000,12,12,24,True
1,quality_profitable_ce,lgbm,ok,39991,9997,75867,2021-01-01T09:29:00,2021-06-10T12:35:00,2021-06-10T12:36:00,2021-07-19T10:27:00,2021-07-19T10:52:00,2022-05-16T11:52:00,0.5886692064746812,0.4382678545362036,0.4382678545362036,0.2388707601163459,0.09875793921862523,0.3671424993739043,0.27230831318930876,0.1222119705767019,0.16517377284127552,0.23019182652210174,0.44964028776978415,0.6458333333333334,0.6063745019920319,0.027321031090687155,1255,761,256.82151394422164,2.3908715035884387,-25242.75000000059,322310.99999999814,49987,39990,39991,49987,50012,50000,12,12,24,True
1,quality_profitable_pe,lgbm,ok,39991,9997,75867,2021-01-01T09:29:00,2021-06-10T12:35:00,2021-06-10T12:36:00,2021-07-19T10:27:00,2021-07-19T10:52:00,2022-05-16T11:52:00,0.5597601043915074,0.39633357833152155,0.39633357833152155,0.23447156363729776,0.0787049298111897,0.36119788577378836,0.28249295596259866,0.03987405525678506,0.21751527494908351,0.30786516853932583,0.3191747572815534,0.3191747572815534,0.4111245465538089,0.28537021493997006,19021,7820,-21.012893643867244,0.8631836165901309,-440291.99999999924,-399686.24999999884,49987,39990,39991,49987,50012,50000,12,12,24,True
1,target_hit_ce,lgbm,ok,39991,9997,75867,2021-01-01T09:29:00,2021-06-10T12:35:00,2021-06-10T12:36:00,2021-07-19T10:27:00,2021-07-19T10:52:00,2022-05-16T11:52:00,0.6614955431501709,0.48143696325480256,0.48143696325480256,0.22242647413664843,0.10867058914438184,0.34510393188079136,0.2442594855437522,0.15699831813733703,0.05621301775147929,0.225,0.5135135135135135,0.6,0.6637512147716229,0.052173248796883356,2058,1366,269.96446793002883,2.3686474771894366,-51081.375000000204,555586.8749999993,49987,39990,39991,49987,50012,50000,12,12,24,True
1,target_hit_pe,lgbm,ok,39991,9997,75867,2021-01-01T09:29:00,2021-06-10T12:35:00,2021-06-10T12:36:00,2021-07-19T10:27:00,2021-07-19T10:52:00,2022-05-16T11:52:00,0.63345124522025,0.43833285558176865,0.43833285558176865,0.2258080308538742,0.09672715127924114,0.34940092530349165,0.25276518866290393,0.08301659177411282,0.11860553239863585,0.23976319684262457,0.40229885057471265,0.3229170829170221,0.4929603904636756,0.09906443337860268,5327,2626,4.6321334709966075,1.0256917736815583,-66682.49999999952,24675.37499999893,49987,39990,39991,49987,50012,50000,12,12,24,True
1,stop_hit_ce,lgbm,ok,39991,9997,75867,2021-01-01T09:29:00,2021-06-10T12:35:00,2021-06-10T12:36:00,2021-07-19T10:27:00,2021-07-19T10:52:00,2022-05-16T11:52:00,0.6126699874524388,0.1857785816285043,0.1857785816285043,0.12706165979630524,0.07803493718824671,0.14361975562497528,0.06562106608063173,0.030980646731117067,0.014537902388369679,0.06312709030100334,0.11466666666666667,0.06312709030100334,0.16657506869847613,0.9179515418502202,60045,10002,-50.1606045465904,0.6920879681189354,-3034764.0000000144,-3011893.5000000205,49987,39990,39991,49987,50012,50000,12,12,24,True
1,stop_hit_pe,lgbm,ok,39991,9997,75867,2021-01-01T09:29:00,2021-06-10T12:35:00,2021-06-10T12:36:00,2021-07-19T10:27:00,2021-07-19T10:52:00,2022-05-16T11:52:00,0.7629626740864943,0.2899888857377256,0.2899888857377256,0.09836973299586461,0.04475280323856148,0.12042126352696166,0.08328954412134042,0.12373800973100509,0.0034138655462184874,0.023722627737226276,0.2916666666666667,0.2903225806451613,0.3632295023272467,0.22208844133099825,5586,2029,56.3270005370573,1.23803467565266,-92063.9999999997,314642.6250000021,49987,39990,39991,49987,50012,50000,12,12,24,True
2,directional_ce,lgbm,ok,100684,25171,75867,2021-01-01T09:29:00,2022-02-03T10:39:00,2022-02-03T10:40:00,2022-05-16T11:28:00,2022-05-16T11:53:00,2023-03-06T12:49:00,0.6288860765115923,0.38234414413480794,0.38234414413480794,0.19996553386300908,0.0617062988485005,0.28676499663885485,0.34710902479328704,0.09673732021202724,0.21359223300970873,0.34471544715447155,0.5397923875432526,0.5478761699064075,0.4934344908082871,0.077725684868542,3427,1691,189.85285964400344,1.8073344035736718,-84472.5000000005,650625.7499999998,125854,100683,100684,125854,125879,125867,12,12,24,True
2,directional_pe,lgbm,ok,100684,25171,75867,2021-01-01T09:29:00,2022-02-03T10:39:00,2022-02-03T10:40:00,2022-05-16T11:28:00,2022-05-16T11:53:00,2023-03-06T12:49:00,0.6340877863253488,0.3871378101175603,0.3871378101175603,0.2003560557960016,0.055080229622320426,0.29170785717110204,0.3444289606910263,0.10523547515942093,0.2077922077922078,0.33172205438066465,0.5055906660184735,0.5055906660184735,0.45461384152457374,0.0819212868826533,3988,1813,30.526297642928125,1.2138428704112298,-69848.62500000028,121738.87499999737,125854,100683,100684,125854,125879,125867,12,12,24,True
